,idx,accuracy,accuracy_top5,num_samples,file_name
0,3062,0.9787234042553191,0.9787234042553191,94,/media/andrius/FastBoi/bakis_data/final22k/train/George Michael - Outside.mp3
1,7999,0.9714285714285714,0.9714285714285714,70,/media/andrius/FastBoi/bakis_data/final22k/train/The Hives - Walk Idiot Walk.mp3
2,6846,0.9947643979057592,1.0,191,/media/andrius/FastBoi/bakis_data/final22k/train/Sisters of Mercy - This Corrosion - New Version for Digital.mp3
3,1048,0.9855072463768116,1.0,69,/media/andrius/FastBoi/bakis_data/final22k/train/Bob Seger - Beautiful Loser.mp3
4,677,0.9672131147540983,1.0,61,/media/andrius/FastBoi/bakis_data/final22k/train/Better Than Ezra - Good.mp3
5,9156,0.9895833333333334,0.9895833333333334,96,/media/andrius/FastBoi/bakis_data/final22k/train/Village People - YMCA.mp3
6,5997,0.9843260188087775,0.9937304075235109,319,/media/andrius/FastBoi/bakis_data/final22k/train/Pinkshinyultrablast - Songs.mp3
7,9040,0.968421052631579,0.968421052631579,95,"/media/andrius/FastBoi/bakis_data/final22k/train/U2 - Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'.mp3"
8,6475,0.9797979797979798,0.98989898989899,99,/media/andrius/FastBoi/bakis_data/final22k/train/Robyn - Missing U.mp3
9,449,0.7468354430379747,0.9873417721518988,79,"/media/andrius/FastBoi/bakis_data/final22k/train/Atlas Sound, Noah Lennox - Walkabout.mp3"
10,8513,0.9764705882352941,0.9882352941176471,85,"/media/andrius/FastBoi/bakis_data/final22k/train/The Smashing Pumpkins - Tonight, Tonight.mp3"
11,4067,0.9540229885057471,0.9885057471264368,87,/media/andrius/FastBoi/bakis_data/final22k/train/Justice - We Are Your Friends - Justice Vs Simian.mp3
12,5428,1.0,1.0,62,/media/andrius/FastBoi/bakis_data/final22k/train/Neil Young - Comes A Time.mp3
13,1524,0.925,1.0,80,/media/andrius/FastBoi/bakis_data/final22k/train/Cher - If I Could Turn Back Time.mp3
14,3819,0.9285714285714286,0.9821428571428571,56,/media/andrius/FastBoi/bakis_data/final22k/train/Joe Cocker - Delta Lady.mp3
15,4617,0.948051948051948,0.961038961038961,77,/media/andrius/FastBoi/bakis_data/final22k/train/Live - I Alone.mp3
16,1313,0.9940476190476191,1.0,168,"/media/andrius/FastBoi/bakis_data/final22k/train/CHIC - Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) - LP  12' Version.mp3"
17,2472,0.9871794871794872,1.0,78,/media/andrius/FastBoi/bakis_data/final22k/train/Elton John - Daniel.mp3
18,2648,1.0,1.0,82,/media/andrius/FastBoi/bakis_data/final22k/train/FKA twigs - Two Weeks.mp3
19,8376,0.4594594594594595,1.0,74,/media/andrius/FastBoi/bakis_data/final22k/train/The Rolling Stones - (I Can't Get No) Satisfaction - Mono Version  Remastered 2002.mp3
20,2445,0.9213483146067416,0.9775280898876404,89,/media/andrius/FastBoi/bakis_data/final22k/train/Elisa - Luce (Tramonti a Nord Est).mp3
21,1481,0.7962962962962963,1.0,54,/media/andrius/FastBoi/bakis_data/final22k/train/Charli XCX - Boys.mp3
22,7027,0.9183673469387755,0.9591836734693877,49,/media/andrius/FastBoi/bakis_data/final22k/train/Sparks - Never Turn Your Back On Mother Earth.mp3
23,6936,0.9789473684210527,1.0,95,"/media/andrius/FastBoi/bakis_data/final22k/train/Snoop Dogg, B-Real - Vato.mp3"
24,9386,0.9767441860465116,0.9767441860465116,86,/media/andrius/FastBoi/bakis_data/final22k/train/Yo La Tengo - Our Way To Fall.mp3
25,6559,0.9852941176470589,0.9852941176470589,68,/media/andrius/FastBoi/bakis_data/final22k/train/Run The Jewels - Oh My Darling Don't Cry.mp3
26,1221,0.9710144927536232,0.9855072463768116,69,/media/andrius/FastBoi/bakis_data/final22k/train/Bruce Springsteen - I'm Goin' Down.mp3
27,1493,0.9402985074626866,0.9850746268656716,67,/media/andrius/FastBoi/bakis_data/final22k/train/Charlie Parker - Lover Man.mp3
28,3492,0.9836065573770492,0.9836065573770492,61,/media/andrius/FastBoi/bakis_data/final22k/train/Isham Jones And His Orchestra - It Had To Be You.mp3
29,5171,1.0,1.0,85,/media/andrius/FastBoi/bakis_data/final22k/train/Midnight Oil - Beds Are Burning.mp3
30,8438,1.0,1.0,126,/media/andrius/FastBoi/bakis_data/final22k/train/The Rolling Stones - Sympathy For The Devil.mp3
31,1958,0.9746835443037974,0.9873417721518988,79,/media/andrius/FastBoi/bakis_data/final22k/train/David Bowie - The Stars (Are Out Tonight).mp3
32,8523,0.9019607843137255,0.9803921568627451,102,/media/andrius/FastBoi/bakis_data/final22k/train/The Smiths - Last Night I Dreamt That Somebody Loved Me - 2011 Remaster.mp3
33,5320,0.9861111111111112,1.0,72,/media/andrius/FastBoi/bakis_data/final22k/train/Ms. Dynamite - Dy-Na-Mi-Tee.mp3
34,2301,0.8850574712643678,0.9578544061302682,261,/media/andrius/FastBoi/bakis_data/final22k/train/Duke Ellington - Reminiscing In Tempo.mp3
