,song_under_test_total_samples,song_under_test_correct_samples,song_under_test_top5_correct_samples,other_total_samples,other_correct_samples,other_top5_correct_samples,cluster_reduction
0,151,148,150,13510,13042,13345,0.0
1,151,147,149,13510,13023,13346,0.010344827586206896
2,151,147,149,13510,13029,13350,0.020689655172413793
3,151,145,149,13510,13033,13343,0.03103448275862069
4,151,145,149,13510,13039,13348,0.041379310344827586
5,151,146,149,13510,13038,13346,0.05172413793103448
6,151,139,147,13510,13024,13347,0.06206896551724138
7,151,135,148,13510,13027,13355,0.07241379310344828
8,151,130,145,13510,13036,13344,0.08275862068965517
9,151,121,145,13510,13027,13346,0.09310344827586206
10,151,111,144,13510,13032,13352,0.10344827586206896
11,151,94,139,13510,13034,13343,0.11379310344827587
12,151,84,131,13510,13034,13356,0.12413793103448276
13,151,68,125,13510,13041,13351,0.13448275862068965
14,151,60,116,13510,13030,13346,0.14482758620689656
15,151,45,104,13510,13029,13345,0.15517241379310345
16,151,37,92,13510,13035,13348,0.16551724137931034
17,151,28,81,13510,13037,13343,0.17586206896551723
18,151,17,62,13510,13024,13349,0.18620689655172412
19,151,7,52,13510,13034,13354,0.19655172413793104
20,151,3,40,13510,13033,13356,0.20689655172413793
21,151,1,28,13510,13032,13356,0.21724137931034482
22,151,0,14,13510,13030,13342,0.22758620689655173
23,151,0,6,13510,13039,13343,0.23793103448275862
24,151,0,4,13510,13031,13342,0.2482758620689655
25,151,0,0,13510,13036,13349,0.25862068965517243
26,151,0,0,13510,13025,13356,0.2689655172413793
27,151,0,0,13510,13027,13346,0.2793103448275862
28,151,0,0,13510,13038,13351,0.2896551724137931
29,151,0,0,13510,13026,13351,0.3
