,song_under_test_total_samples,song_under_test_correct_samples,song_under_test_top5_correct_samples,other_total_samples,other_correct_samples,other_top5_correct_samples,cluster_reduction
0,151,149,149,13510,12331,12831,0.0
1,151,149,149,13510,12331,12831,0.010101010101010102
2,151,149,149,13510,12331,12831,0.020202020202020204
3,151,149,149,13510,12331,12831,0.030303030303030304
4,151,149,149,13510,12331,12831,0.04040404040404041
5,151,149,149,13510,12331,12831,0.05050505050505051
6,151,148,149,13510,12331,12831,0.06060606060606061
7,151,148,149,13510,12331,12831,0.07070707070707072
8,151,148,149,13510,12331,12832,0.08080808080808081
9,151,148,149,13510,12331,12832,0.09090909090909091
10,151,148,149,13510,12331,12832,0.10101010101010102
11,151,148,149,13510,12331,12832,0.11111111111111112
12,151,146,149,13510,12331,12832,0.12121212121212122
13,151,146,149,13510,12331,12832,0.13131313131313133
14,151,145,149,13510,12331,12832,0.14141414141414144
15,151,145,149,13510,12331,12832,0.15151515151515152
16,151,145,148,13510,12331,12832,0.16161616161616163
17,151,143,148,13510,12331,12832,0.17171717171717174
18,151,142,148,13510,12331,12832,0.18181818181818182
19,151,140,148,13510,12331,12832,0.19191919191919193
20,151,137,148,13510,12331,12832,0.20202020202020204
21,151,137,148,13510,12331,12832,0.21212121212121213
22,151,133,147,13510,12331,12832,0.22222222222222224
23,151,130,146,13510,12331,12832,0.23232323232323235
24,151,126,145,13510,12331,12832,0.24242424242424243
25,151,122,144,13510,12331,12832,0.25252525252525254
26,151,120,143,13510,12331,12832,0.26262626262626265
27,151,114,141,13510,12331,12832,0.27272727272727276
28,151,113,139,13510,12331,12832,0.2828282828282829
29,151,110,137,13510,12331,12832,0.29292929292929293
30,151,108,137,13510,12331,12832,0.30303030303030304
31,151,98,134,13510,12331,12832,0.31313131313131315
32,151,89,130,13510,12331,12832,0.32323232323232326
33,151,81,123,13510,12331,12832,0.33333333333333337
34,151,78,120,13510,12331,12832,0.3434343434343435
35,151,74,114,13510,12331,12832,0.3535353535353536
36,151,68,110,13510,12331,12832,0.36363636363636365
37,151,56,105,13510,12331,12832,0.37373737373737376
38,151,44,102,13510,12331,12832,0.38383838383838387
39,151,36,94,13510,12331,12832,0.393939393939394
40,151,31,91,13510,12331,12832,0.4040404040404041
41,151,27,83,13510,12331,12832,0.4141414141414142
42,151,25,74,13510,12331,12832,0.42424242424242425
43,151,18,62,13510,12331,12832,0.43434343434343436
44,151,10,50,13510,12331,12832,0.4444444444444445
45,151,8,44,13510,12331,12832,0.4545454545454546
46,151,7,32,13510,12331,12832,0.4646464646464647
47,151,6,25,13510,12331,12832,0.4747474747474748
48,151,6,19,13510,12331,12832,0.48484848484848486
49,151,6,12,13510,12331,12832,0.494949494949495
50,151,5,11,13510,12331,12832,0.5050505050505051
51,151,5,11,13510,12331,12832,0.5151515151515152
52,151,2,6,13510,12331,12832,0.5252525252525253
53,151,2,4,13510,12331,12832,0.5353535353535354
54,151,1,3,13510,12331,12832,0.5454545454545455
55,151,1,2,13510,12331,12832,0.5555555555555556
56,151,1,1,13510,12331,12832,0.5656565656565657
57,151,1,1,13510,12331,12832,0.5757575757575758
58,151,1,1,13510,12331,12832,0.5858585858585859
59,151,0,1,13510,12331,12832,0.595959595959596
60,151,0,0,13510,12331,12832,0.6060606060606061
61,151,0,0,13510,12331,12832,0.6161616161616162
62,151,0,0,13510,12331,12832,0.6262626262626263
63,151,0,0,13510,12331,12832,0.6363636363636365
64,151,0,0,13510,12331,12832,0.6464646464646465
65,151,0,0,13510,12331,12832,0.6565656565656566
66,151,0,0,13510,12331,12832,0.6666666666666667
67,151,0,0,13510,12331,12832,0.6767676767676768
68,151,0,0,13510,12331,12832,0.686868686868687
69,151,0,0,13510,12331,12832,0.696969696969697
70,151,0,0,13510,12331,12832,0.7070707070707072
71,151,0,0,13510,12331,12832,0.7171717171717172
72,151,0,0,13510,12331,12832,0.7272727272727273
73,151,0,0,13510,12331,12832,0.7373737373737375
74,151,0,0,13510,12331,12832,0.7474747474747475
75,151,0,0,13510,12331,12832,0.7575757575757577
76,151,0,0,13510,12331,12832,0.7676767676767677
77,151,0,0,13510,12331,12832,0.7777777777777778
78,151,0,0,13510,12331,12832,0.787878787878788
79,151,0,0,13510,12331,12832,0.797979797979798
80,151,0,0,13510,12331,12832,0.8080808080808082
81,151,0,0,13510,12331,12832,0.8181818181818182
82,151,0,0,13510,12331,12832,0.8282828282828284
83,151,0,0,13510,12331,12832,0.8383838383838385
84,151,0,0,13510,12331,12832,0.8484848484848485
85,151,0,0,13510,12331,12832,0.8585858585858587
86,151,0,0,13510,12331,12832,0.8686868686868687
87,151,0,0,13510,12331,12832,0.8787878787878789
88,151,0,0,13510,12331,12832,0.888888888888889
89,151,0,0,13510,12331,12832,0.8989898989898991
90,151,0,0,13510,12331,12832,0.9090909090909092
91,151,0,0,13510,12331,12832,0.9191919191919192
92,151,0,0,13510,12331,12832,0.9292929292929294
93,151,0,0,13510,12331,12832,0.9393939393939394
94,151,0,0,13510,12331,12832,0.9494949494949496
95,151,0,0,13510,12331,12832,0.9595959595959597
96,151,0,0,13510,12331,12832,0.9696969696969697
97,151,0,0,13510,12331,12832,0.9797979797979799
98,151,0,0,13510,12331,12832,0.98989898989899
99,151,0,0,13510,12331,12832,1.0
