centroid_positions,cluster_sizes,centroid_filepath
"[0.515048623085022, 0.28707948327064514, 0.7599226236343384, 0.4923717975616455, 0.8085218667984009, 0.9598448872566223, 0.9304261803627014, 0.39016520977020264, 0.9473015666007996, 0.9666036367416382, 0.4239269196987152, 0.3911435604095459, 0.7333177328109741, 0.5023956894874573, 0.9570623636245728, 0.7864378690719604, 0.9595312476158142, 0.6513343453407288, 0.9679238796234131, 0.4552118480205536, 0.9857276082038879, 1.0, 0.5268322229385376, 0.33104366064071655, 0.898392379283905, 0.9835355281829834, 0.38334667682647705, 0.9791509509086609, 0.9544265866279602, 0.4209196865558624, 0.9126060605049133, 0.6956292390823364, 0.9876611232757568, 0.7628335356712341, 0.40969201922416687, 0.3391205668449402, 0.9823799133300781, 0.48568692803382874, 0.6695666313171387, 0.4389655590057373, 0.37769439816474915, 0.8662223219871521, 0.45379289984703064, 0.40810003876686096, 0.428989052772522, 0.9494681358337402, 0.9121425747871399, 0.4757689833641052, 0.594955563545227, 0.5183623433113098, 0.9699188470840454, 0.9994747042655945, 0.6671860814094543, 0.36705732345581055, 0.9933322668075562, 0.4062642455101013, 0.9394367933273315, 0.8793697357177734, 0.34883904457092285, 0.6460213661193848, 0.9577276110649109, 0.9869900941848755, 0.6663443446159363, 0.9895949959754944, 0.417630136013031, 0.41475650668144226, 0.9954262971878052, 0.9190502762794495, 0.9592269659042358, 0.9768114686012268, 0.9373368620872498, 0.774020254611969, 0.9852584004402161, 0.3730190694332123, 0.8118488192558289, 0.7161560654640198, 0.9700469970703125, 0.4192526042461395, 0.7244214415550232, 0.33397138118743896, 0.9981351494789124, 0.9840280413627625, 0.34992727637290955, 0.9821042418479919, 0.9898684620857239, 0.9886096119880676, 0.33172672986984253, 0.7765961289405823, 0.49639075994491577, 0.6269742250442505, 0.9847730398178101, 0.33086100220680237, 0.9987212419509888, 0.37403932213783264, 0.9262354373931885, 0.786038339138031, 0.486370712518692, 0.9464843273162842, 0.8692487478256226, 0.959029495716095, 0.6237389445304871, 0.35707223415374756, 0.4817635416984558, 0.4971778988838196, 0.5163723230361938, 0.9008262157440186, 0.786925733089447, 0.9439370632171631, 0.40865176916122437, 0.7056189179420471, 0.5401256084442139, 0.9756358861923218, 0.4466998875141144, 0.9753097295761108, 0.4175496995449066, 0.4560811519622803, 0.9998956322669983, 0.9516838788986206, 1.0, 0.5415058135986328, 0.5536897778511047, 0.46688899397850037, 0.955782949924469, 0.3460588753223419, 0.3398434817790985, 0.9522433280944824, 0.4454030990600586, 0.630474328994751]",0.06041797250509262,/home/andrius/git/bakis/data/spotifyTop10000/Falco - Rock Me Amadeus - The Gold Mix.mp3
"[0.9455304741859436, 0.9296882152557373, 0.1680016666650772, 1.0, 0.4177142381668091, 0.8725948333740234, 0.64754319190979, 0.9996914863586426, 0.6782428622245789, 0.6203082799911499, 0.8406720757484436, 0.37411579489707947, 0.5872365832328796, 0.9915629625320435, 0.5387243032455444, 0.5013221502304077, 0.4090670049190521, 1.0, 0.37880733609199524, 0.9648125767707825, 0.9327794313430786, 0.44327512383461, 0.6981611847877502, 1.0, 0.9907820224761963, 0.45275136828422546, 0.8824506402015686, 0.9967100024223328, 0.37930431962013245, 0.9834478497505188, 0.6355718970298767, 0.9604567885398865, 0.8593801856040955, 0.7000648975372314, 0.35867905616760254, 0.8623577356338501, 0.7828831076622009, 0.7912627458572388, 0.7142913341522217, 0.5962809324264526, 0.35595816373825073, 0.9868941307067871, 0.9041497707366943, 0.9739008545875549, 0.35430026054382324, 0.9926876425743103, 0.8442195057868958, 0.949425995349884, 0.651622474193573, 0.45993438363075256, 0.47946295142173767, 0.6574408411979675, 0.7218468189239502, 0.9934629201889038, 0.40728434920310974, 0.9588838219642639, 0.7577031254768372, 0.26918891072273254, 0.9883922338485718, 0.6222739219665527, 0.6507238149642944, 0.5751501321792603, 0.6351512670516968, 0.45087116956710815, 0.8841915726661682, 0.44062456488609314, 0.4998512864112854, 0.705197274684906, 0.41828107833862305, 0.5556675791740417, 0.8004180788993835, 0.9216563105583191, 0.33543258905410767, 0.9787046909332275, 0.41454029083251953, 0.9096677303314209, 0.8499203324317932, 0.36282309889793396, 0.950191080570221, 0.6252254247665405, 0.36342501640319824, 0.5237608551979065, 0.9081058502197266, 0.3689507246017456, 0.3705460727214813, 0.47349753975868225, 0.6062875986099243, 0.912219226360321, 0.608050525188446, 0.9329102635383606, 0.6818477511405945, 0.7658349275588989, 0.4936448335647583, 0.9620710611343384, 0.8065323233604431, 0.9553678035736084, 0.3085716664791107, 0.9860584139823914, 0.6322720646858215, 0.8474493622779846, 0.9579759836196899, 0.980697751045227, 0.3700278103351593, 0.29787030816078186, 0.6627916097640991, 0.6538710594177246, 0.9652941226959229, 0.8103480339050293, 0.6401209831237793, 0.9865414500236511, 0.8843026757240295, 0.749413013458252, 0.9989673495292664, 0.684933066368103, 0.9971535205841064, 0.9216299057006836, 0.49427348375320435, 0.7199000716209412, 0.2135365903377533, 0.9736286997795105, 0.8005826473236084, 0.8178660273551941, 0.7470617890357971, 0.6776493787765503, 0.9395675659179688, 0.3773057460784912, 0.7351320385932922, 0.9677678942680359]",0.06976164132356644,/home/andrius/git/bakis/data/spotifyTop10000/The Who - Behind Blue Eyes.mp3
"[0.5269755125045776, 0.6873879432678223, 0.5387377738952637, 0.7458087801933289, 0.578762412071228, 0.837213397026062, 0.5623859167098999, 0.4047478437423706, 0.4548860490322113, 0.5319914817810059, 0.9152421951293945, 0.4084625244140625, 0.39216265082359314, 0.8554079532623291, 0.9131283760070801, 0.9674292802810669, 0.6123424768447876, 0.5448853373527527, 0.5741276144981384, 0.5626207590103149, 0.46584421396255493, 0.94487065076828, 0.725143313407898, 0.975020706653595, 0.5977933406829834, 0.5086261630058289, 0.749518871307373, 0.5253545045852661, 0.4580080211162567, 0.9650261998176575, 0.4466932415962219, 0.5860946178436279, 0.7301994562149048, 0.5006614923477173, 0.5035368800163269, 0.7188636064529419, 0.6447482109069824, 0.9959491491317749, 0.4587630033493042, 0.9906303882598877, 0.609255850315094, 0.7294093370437622, 0.9998033046722412, 0.9659102559089661, 0.4947162866592407, 0.7230715751647949, 0.9988604187965393, 0.4740634560585022, 0.9016368389129639, 0.7120092511177063, 0.6677510142326355, 0.6498782634735107, 0.9870063066482544, 0.47506245970726013, 0.4090559184551239, 0.4676245450973511, 0.4738313853740692, 0.4077632427215576, 0.644805908203125, 0.44117340445518494, 0.47711214423179626, 0.9966604113578796, 0.5249729156494141, 0.45140528678894043, 0.45062536001205444, 0.4539719223976135, 0.5263591408729553, 0.9786093831062317, 0.9832029342651367, 0.4280507564544678, 0.6883075833320618, 0.4403966963291168, 0.3829222023487091, 0.9028841853141785, 0.42044690251350403, 0.5767373442649841, 0.4839912950992584, 0.6274714469909668, 0.44818565249443054, 0.4803517758846283, 0.9764914512634277, 0.4409240484237671, 0.8971940875053406, 0.49778372049331665, 0.48233962059020996, 0.4183492660522461, 0.4424475133419037, 0.506964385509491, 0.5771306753158569, 0.6811426281929016, 0.4777792692184448, 0.48804670572280884, 0.9990968704223633, 0.8936349153518677, 0.9973878264427185, 0.4297248423099518, 0.657149612903595, 0.45922034978866577, 0.9909761548042297, 0.717435896396637, 0.45654651522636414, 0.9832866191864014, 0.9000289440155029, 0.4112931191921234, 0.4264254868030548, 0.5703005790710449, 0.606546938419342, 0.44254070520401, 0.7148054838180542, 0.4652974307537079, 0.7868204712867737, 0.3934871256351471, 0.7777361273765564, 0.9959739446640015, 0.9688715934753418, 0.4680961072444916, 0.5880380272865295, 0.6962289810180664, 0.8626973032951355, 0.802995502948761, 0.921403706073761, 0.4907197654247284, 0.5355646014213562, 0.9998698234558105, 0.5959989428520203, 0.5044070482254028, 0.48221492767333984, 0.9994083642959595]",0.06217158958315849,/home/andrius/git/bakis/data/spotifyTop10000/1910 Fruitgum Company - Simon Says.mp3
"[1.0, 0.9888376593589783, 0.6074035167694092, 1.0, 0.6389238834381104, 0.6254995465278625, 0.41065287590026855, 0.948367714881897, 0.9861684441566467, 0.8807675242424011, 0.5732342600822449, 0.2510637044906616, 0.7635763883590698, 0.7934054732322693, 0.8483755588531494, 0.9854176044464111, 0.5325815677642822, 0.984148383140564, 0.5301494598388672, 0.8915444612503052, 0.9488788843154907, 0.4485890865325928, 0.6883358955383301, 0.507280707359314, 0.354429692029953, 0.8876978754997253, 0.6755707263946533, 0.9269942045211792, 0.7530920505523682, 0.5894469022750854, 0.39049631357192993, 0.5717240571975708, 0.6519834995269775, 0.49816903471946716, 0.44161415100097656, 0.4671584963798523, 0.9578284025192261, 0.9343207478523254, 0.6276796460151672, 1.0, 0.3912077248096466, 0.4260621666908264, 0.9196515083312988, 0.9379867911338806, 0.5505849123001099, 0.8651255369186401, 0.4484540820121765, 0.9942272305488586, 0.6031695604324341, 0.8861790299415588, 0.4074310064315796, 0.4823681116104126, 0.697342038154602, 0.7358903884887695, 0.4796597361564636, 0.9958306550979614, 0.4246947765350342, 0.20893433690071106, 0.9815903306007385, 0.7586416006088257, 0.4704950153827667, 0.475000262260437, 0.9359308481216431, 0.6994097828865051, 0.49514883756637573, 0.9255126714706421, 0.7277318835258484, 0.6277353763580322, 0.5110604166984558, 0.5493739247322083, 0.8636693358421326, 0.5102059245109558, 0.33674001693725586, 0.39744338393211365, 0.6942026615142822, 0.46166691184043884, 0.990917444229126, 0.4629862606525421, 0.8974409103393555, 0.6750671863555908, 0.4409169852733612, 0.529289186000824, 0.40177321434020996, 0.5187713503837585, 0.42648181319236755, 0.45860376954078674, 0.8801314830780029, 0.9508421421051025, 0.41733458638191223, 0.7095775604248047, 0.4834616184234619, 0.9448956251144409, 0.7133218050003052, 1.0, 0.9679487943649292, 0.8510472178459167, 0.7159512639045715, 1.0, 0.9680587649345398, 0.7277881503105164, 0.7285619974136353, 0.44792941212654114, 0.9866798520088196, 0.34321606159210205, 0.6905081272125244, 0.6365110874176025, 0.46622931957244873, 0.99903404712677, 0.48468148708343506, 1.0, 0.833764374256134, 0.9824633002281189, 1.0, 0.9812461137771606, 0.4858185350894928, 0.9194700717926025, 0.3874857425689697, 0.891152024269104, 0.513088583946228, 0.8217108249664307, 0.9793763160705566, 0.9191436767578125, 0.5537599921226501, 0.7734049558639526, 0.9529629945755005, 0.5888320803642273, 0.5334467887878418, 0.978621244430542]",0.061337828636169434,"/home/andrius/git/bakis/data/spotifyTop10000/Queen, David Bowie - Under Pressure.mp3"
"[0.9925506711006165, 0.3472456634044647, 0.8573337197303772, 0.32879412174224854, 0.9981073141098022, 0.8816728591918945, 0.29837566614151, 0.30211445689201355, 0.9189335703849792, 0.40664440393447876, 0.8222349286079407, 0.580258309841156, 0.9974725842475891, 0.43195298314094543, 0.4847162663936615, 0.9986205697059631, 0.6931376457214355, 0.36818891763687134, 0.3682199716567993, 0.37899142503738403, 0.9940087795257568, 0.9994041323661804, 0.41531315445899963, 0.8504331707954407, 0.9513932466506958, 0.9928196668624878, 0.9250825047492981, 0.9643326997756958, 0.6380923390388489, 0.45632633566856384, 0.5378245115280151, 0.634503960609436, 0.9120436310768127, 0.9422701001167297, 0.44699153304100037, 0.9517655968666077, 0.39361026883125305, 0.49461695551872253, 0.23225051164627075, 0.32487067580223083, 0.9672617316246033, 0.9726383090019226, 0.9642029404640198, 0.8794423937797546, 0.4112938642501831, 0.9991840720176697, 0.9319164156913757, 0.9774006605148315, 0.9534210562705994, 0.9935840368270874, 0.36582931876182556, 0.429971843957901, 0.9249423146247864, 0.3760458528995514, 0.3700126111507416, 0.9932267069816589, 0.934729278087616, 0.5214320421218872, 0.35985898971557617, 0.9959151148796082, 0.4012208580970764, 0.962978720664978, 0.9527028203010559, 0.9730749130249023, 0.897940456867218, 0.3792850971221924, 0.9277053475379944, 0.36041712760925293, 0.9886934757232666, 0.502829909324646, 0.43224790692329407, 0.5704147815704346, 0.9998427629470825, 0.5966615676879883, 0.3708392381668091, 0.4791615605354309, 0.9983159303665161, 0.9025505781173706, 0.8617754578590393, 0.4520542621612549, 0.5293184518814087, 0.7391596436500549, 0.5593816041946411, 0.9422245025634766, 0.9303901195526123, 0.39689671993255615, 0.46259310841560364, 0.9986588954925537, 0.37249159812927246, 0.5856131315231323, 0.9902403950691223, 0.4470808207988739, 0.9918226003646851, 0.6636701226234436, 0.8922715187072754, 0.8636336326599121, 0.9975045323371887, 0.9972310066223145, 0.7321901917457581, 0.6382908821105957, 0.9907421469688416, 0.48657771944999695, 0.9935379028320312, 0.8164696097373962, 0.9977401494979858, 0.4077349603176117, 0.7517678737640381, 0.9960088729858398, 0.7995021939277649, 0.43849724531173706, 0.3967589735984802, 0.5558534860610962, 0.389587938785553, 0.3415623903274536, 0.5166916251182556, 0.9882758259773254, 0.9964671730995178, 0.9430357217788696, 0.46945077180862427, 0.8993900418281555, 0.5151812434196472, 0.735842227935791, 0.8268052339553833, 0.9875699281692505, 0.515089213848114, 0.8104714751243591, 0.5032109618186951, 0.41226163506507874]",0.06712109595537186,/home/andrius/git/bakis/data/spotifyTop10000/Daryl Hall & John Oates - Sara Smile.mp3
"[0.9889311194419861, 1.0, 0.6383939385414124, 0.3330634832382202, 0.5503136515617371, 0.35722509026527405, 0.7989624738693237, 0.45394662022590637, 0.4028933048248291, 0.8819973468780518, 0.5041146278381348, 0.5367070436477661, 0.6800476908683777, 0.675166666507721, 0.36930105090141296, 0.40418320894241333, 0.6486521363258362, 0.39821094274520874, 0.6907054781913757, 0.8206573128700256, 0.5697232484817505, 0.4027837812900543, 0.3768853545188904, 0.8407139182090759, 0.5110918879508972, 0.7607196569442749, 0.9898096919059753, 0.9650249481201172, 0.7761561274528503, 0.91966712474823, 0.9993828535079956, 0.40600600838661194, 1.0, 0.9741658568382263, 0.9096030592918396, 1.0, 0.5402102470397949, 0.5983042120933533, 0.4955078661441803, 0.9916349053382874, 0.7409353852272034, 0.477091521024704, 0.978113055229187, 0.8906214833259583, 0.5314298272132874, 0.410701185464859, 0.8400450944900513, 0.7949958443641663, 0.4463980197906494, 0.5008655190467834, 0.990264892578125, 0.7142103910446167, 0.4171507656574249, 0.69964599609375, 0.5332541465759277, 0.5028170347213745, 0.9968628287315369, 0.32652610540390015, 0.64578777551651, 0.8310940265655518, 0.992854118347168, 0.6522262096405029, 0.6236929893493652, 0.4504292607307434, 0.9689221382141113, 0.6487964391708374, 0.968246579170227, 0.9979236721992493, 0.3251259922981262, 0.39005741477012634, 1.0, 0.527492105960846, 0.46403220295906067, 0.6928372383117676, 0.5981541872024536, 0.9296192526817322, 0.4164953827857971, 0.5787999033927917, 0.8318968415260315, 0.6668084263801575, 0.5707094669342041, 0.631998598575592, 0.7621417045593262, 0.42916738986968994, 0.3826656937599182, 0.5428970456123352, 0.6456906795501709, 0.9754648804664612, 0.9938483238220215, 0.42386552691459656, 1.0, 0.6104485988616943, 0.43569862842559814, 0.7102402448654175, 0.5422733426094055, 0.8491897583007812, 0.4334034323692322, 0.39080893993377686, 0.5197288393974304, 0.982631504535675, 0.45733630657196045, 0.565393328666687, 0.6595540642738342, 0.8932083249092102, 0.41352206468582153, 0.6375697255134583, 0.9998136162757874, 0.6813202500343323, 0.9958106875419617, 0.6509247422218323, 0.36647331714630127, 0.7971814870834351, 0.5660277605056763, 0.42762255668640137, 0.37460222840309143, 0.526822030544281, 0.5475236773490906, 0.42381057143211365, 0.46002358198165894, 0.8443644046783447, 0.5789574384689331, 0.44024914503097534, 0.9896328449249268, 0.8920867443084717, 0.9867990016937256, 0.516272783279419, 0.8977043032646179, 0.709608793258667]",0.05756509676575661,/home/andrius/git/bakis/data/spotifyTop10000/Julien Baker - Appointments.mp3
"[0.7819175720214844, 1.0, 0.622617781162262, 0.29582488536834717, 0.3593346178531647, 0.8017632961273193, 0.5021577477455139, 0.44098928570747375, 0.5090383887290955, 0.6525198221206665, 0.4948996305465698, 0.41832008957862854, 0.4770175814628601, 0.4989374876022339, 0.4542732834815979, 0.9098134636878967, 0.4318992793560028, 0.365066260099411, 0.8851653337478638, 0.7819666266441345, 0.5058692097663879, 0.9138659238815308, 0.8067725300788879, 0.9846906065940857, 0.5429149866104126, 0.9330848455429077, 0.5725119709968567, 0.9877224564552307, 0.4062010943889618, 0.9703418016433716, 0.8247566819190979, 0.734110414981842, 0.9852592349052429, 0.4407687783241272, 0.9969682693481445, 0.6914387345314026, 0.8393694162368774, 0.4587096571922302, 0.8754590749740601, 1.0, 0.4929993748664856, 0.39038553833961487, 0.7686359286308289, 0.9762837290763855, 0.4487815201282501, 0.44562220573425293, 0.7749870419502258, 0.597303032875061, 0.9800487756729126, 0.5167556405067444, 0.9849677085876465, 0.45720475912094116, 0.594379723072052, 0.44953256845474243, 0.531140923500061, 0.5008043050765991, 0.411325603723526, 0.4675518274307251, 0.7926788926124573, 0.4094044864177704, 0.37678262591362, 0.9967349171638489, 0.9885759353637695, 0.5059851408004761, 0.4763352870941162, 0.6053715944290161, 0.8206682205200195, 0.9852604866027832, 0.5330074429512024, 0.36621659994125366, 1.0, 0.678566038608551, 0.580250084400177, 0.6097806096076965, 0.5456785559654236, 0.8657947182655334, 0.3907747268676758, 0.5346905589103699, 1.0, 0.7454982399940491, 0.9772666096687317, 0.9523431062698364, 0.5818462371826172, 0.2557159960269928, 0.5760722756385803, 0.5206689238548279, 0.8744155168533325, 0.9730323553085327, 0.915037214756012, 0.40484780073165894, 0.7474866509437561, 0.7174099087715149, 0.4408388137817383, 0.91292405128479, 0.5611836314201355, 0.9750752449035645, 0.5850782990455627, 0.43896740674972534, 0.6834828853607178, 0.739477813243866, 0.4398537278175354, 0.8109861612319946, 0.9319299459457397, 0.543998122215271, 0.44670355319976807, 0.691704511642456, 0.35552874207496643, 0.3698170483112335, 0.5320664644241333, 0.5109308958053589, 0.8139688968658447, 0.3237578868865967, 0.7722226977348328, 0.9412243962287903, 0.9724940657615662, 0.48289191722869873, 0.9175199866294861, 0.49961838126182556, 0.9183434247970581, 0.8652070760726929, 0.9018155932426453, 0.47172215580940247, 0.9453179836273193, 0.7356122136116028, 0.8531684875488281, 0.40258845686912537, 0.5857536792755127, 0.4827934503555298]",0.06494979560375214,/home/andrius/git/bakis/data/spotifyTop10000/Love Unlimited - Walkin' In The Rain With The One I Love.mp3
"[0.6563675999641418, 0.99439936876297, 0.9440023899078369, 0.5433602929115295, 0.8755760192871094, 0.9944890737533569, 0.4274802803993225, 0.45706671476364136, 0.3643926978111267, 0.6415903568267822, 0.7093127965927124, 0.9972637891769409, 0.45507264137268066, 0.5390398502349854, 0.6236839890480042, 0.9674338698387146, 0.9870332479476929, 0.4616599380970001, 0.9575342535972595, 0.9897141456604004, 0.5558682084083557, 0.34868913888931274, 0.7963219881057739, 1.0, 1.0, 0.5096952319145203, 0.8495593070983887, 0.5523813962936401, 0.7428323030471802, 0.7952790260314941, 0.973955512046814, 0.7143564820289612, 0.8047440052032471, 0.9892141819000244, 0.8731756210327148, 0.7900632619857788, 0.46845710277557373, 1.0, 0.5553939938545227, 0.3313266336917877, 0.9780492186546326, 0.5537251830101013, 0.9136960506439209, 0.5265582799911499, 0.3766355812549591, 0.949384868144989, 0.9972748756408691, 0.9973975419998169, 1.0, 0.9220010042190552, 0.9638186097145081, 0.4963597357273102, 0.8976418375968933, 0.9997840523719788, 0.43405506014823914, 1.0, 0.8669904470443726, 0.4433842897415161, 0.9219471216201782, 0.5617522597312927, 0.9640833735466003, 0.6474050283432007, 0.44024404883384705, 0.9515317678451538, 0.9885523319244385, 0.4298740029335022, 0.46547240018844604, 0.9824622869491577, 0.9323360919952393, 0.6340914964675903, 0.3442569971084595, 0.6399446725845337, 0.9994534850120544, 0.6323071122169495, 0.47102490067481995, 0.9979117512702942, 0.9680906534194946, 0.5905835032463074, 0.9842622876167297, 0.8856443166732788, 0.5165303349494934, 0.6350620985031128, 0.6135367155075073, 0.35905560851097107, 0.35903677344322205, 0.4633166491985321, 0.975021243095398, 0.9132344126701355, 0.6012009978294373, 0.9974515438079834, 0.9383931159973145, 0.4864692687988281, 0.4914577901363373, 0.9981854557991028, 0.504256546497345, 0.5891780257225037, 0.5751587748527527, 0.9575761556625366, 0.484597384929657, 1.0, 0.7096773386001587, 0.8583628535270691, 0.43335020542144775, 0.5233089327812195, 0.6393332481384277, 0.669535756111145, 0.8467512726783752, 0.7043130993843079, 0.5573424696922302, 0.9384902715682983, 0.6633283495903015, 0.9677983522415161, 0.8128250241279602, 0.31536033749580383, 0.9132898449897766, 0.8028214573860168, 1.0, 0.4356352984905243, 0.5450683832168579, 0.8762803077697754, 0.49754029512405396, 1.0, 0.9003466963768005, 0.8218387961387634, 0.935807466506958, 0.3788022994995117, 0.5285392999649048, 0.5261366963386536]",0.06214560940861702,"/home/andrius/git/bakis/data/spotifyTop10000/Jeezy, Kanye West - Put On.mp3"
"[0.791107714176178, 0.8494704365730286, 0.5304734110832214, 0.9973499774932861, 0.8903676271438599, 0.39461749792099, 0.42894336581230164, 0.5954371094703674, 0.3831665515899658, 0.513265073299408, 0.41796597838401794, 0.4526267945766449, 0.44760793447494507, 0.4621882438659668, 0.7158449292182922, 0.3665781021118164, 0.4529789090156555, 0.9622429013252258, 0.9791965484619141, 0.682597815990448, 0.5187736749649048, 0.5862878561019897, 0.47708332538604736, 0.5233235359191895, 0.995265781879425, 0.49119460582733154, 0.6777656674385071, 0.8302268385887146, 0.3383622467517853, 0.7326726317405701, 0.3904208242893219, 0.4305405914783478, 0.8917075991630554, 0.7042527198791504, 0.9679426550865173, 0.9963365197181702, 0.9943340420722961, 0.37339773774147034, 1.0, 1.0, 0.9397655725479126, 0.9907244443893433, 0.7667780518531799, 0.5015408396720886, 0.9910738468170166, 0.9810525178909302, 0.9045796990394592, 0.3925093114376068, 0.8266005516052246, 0.45501038432121277, 0.4276808798313141, 0.5145848393440247, 0.40633100271224976, 0.9995520114898682, 0.9837465286254883, 0.4007188677787781, 0.5006759762763977, 1.0, 0.5690142512321472, 0.4476221799850464, 0.4524858295917511, 0.9691675305366516, 0.6511144638061523, 0.41094011068344116, 0.3457435965538025, 0.9809945225715637, 0.5010132789611816, 0.3462037742137909, 0.888125479221344, 0.6428205370903015, 0.2712689936161041, 0.3439294099807739, 0.7671054005622864, 1.0, 0.9929612874984741, 0.4023893475532532, 0.7239083051681519, 0.8152930736541748, 0.9095157384872437, 0.9203606247901917, 0.9280519485473633, 0.5802596211433411, 1.0, 0.8030605912208557, 0.7624648809432983, 0.982585608959198, 0.9971206784248352, 0.35719460248947144, 0.9575158953666687, 0.9924771785736084, 0.2618160545825958, 0.6221844553947449, 0.8204590082168579, 0.4626995325088501, 0.2987631559371948, 0.6206884980201721, 0.40166953206062317, 0.39908090233802795, 0.3699151575565338, 0.5736110806465149, 0.7984020709991455, 0.9667351841926575, 0.41875189542770386, 0.5349770188331604, 0.6235305070877075, 0.9917982816696167, 0.9883385896682739, 0.4361822009086609, 0.39718279242515564, 0.374288409948349, 0.5455254316329956, 0.4963619112968445, 0.4813876450061798, 0.9877743124961853, 0.4013006091117859, 0.383292555809021, 0.43417301774024963, 0.47102639079093933, 1.0, 0.4619065523147583, 0.7840889692306519, 0.5014910101890564, 0.9919358491897583, 0.9339396953582764, 0.9666095972061157, 0.4478190839290619, 0.4895686209201813, 0.4392974078655243]",0.061397068202495575,/home/andrius/git/bakis/data/spotifyTop10000/The White Stripes - My Doorbell.mp3
"[0.9357565641403198, 1.0, 1.0, 0.886468231678009, 0.8247854709625244, 0.323607474565506, 0.8338227272033691, 0.3928871750831604, 1.0, 0.9312865138053894, 0.4773079454898834, 0.4345405101776123, 0.6146606206893921, 0.7726307511329651, 0.7112892866134644, 0.7947131991386414, 0.9504563808441162, 0.47106990218162537, 1.0, 0.36674070358276367, 0.9842739701271057, 0.9929838180541992, 0.5349437594413757, 0.4274579882621765, 0.4909370243549347, 0.7540366649627686, 0.3871016204357147, 0.8620949983596802, 0.9079041481018066, 0.9088161587715149, 0.6844398975372314, 0.827934741973877, 0.5409882068634033, 0.5947223901748657, 0.9976179003715515, 0.3963826596736908, 1.0, 0.49123191833496094, 0.5515163540840149, 1.0, 0.3621678054332733, 0.5413796901702881, 0.649982750415802, 0.4337039589881897, 0.7237393856048584, 0.6626768112182617, 0.35222795605659485, 0.8736591935157776, 0.5085892677307129, 0.8990366458892822, 0.9730886816978455, 0.9976373910903931, 0.4775705337524414, 1.0, 0.9959180951118469, 0.9078040719032288, 0.4624914824962616, 0.3893163800239563, 0.23879487812519073, 0.6275122165679932, 1.0, 0.6886597275733948, 0.2621089518070221, 0.5944398045539856, 0.6829777359962463, 0.9419112801551819, 1.0, 0.9959000945091248, 0.951041579246521, 0.4997495412826538, 1.0, 0.876078188419342, 0.9021069407463074, 0.2259821891784668, 0.9759368896484375, 1.0, 0.602461040019989, 0.40115058422088623, 0.9559658169746399, 0.413101464509964, 0.8622642755508423, 0.5774402618408203, 0.31918177008628845, 0.9165569543838501, 0.9637280106544495, 0.9917364716529846, 0.49272796511650085, 0.9814662933349609, 0.5822693109512329, 0.5730001330375671, 0.8877427577972412, 0.39361587166786194, 0.28999853134155273, 0.9511240124702454, 0.5119482278823853, 0.9323714971542358, 0.8590268492698669, 0.8234385251998901, 0.3861108124256134, 1.0, 0.9858179092407227, 0.6189906001091003, 0.7381722927093506, 0.6057122349739075, 0.5452708005905151, 0.50404292345047, 0.3174569606781006, 0.42239993810653687, 0.3911893367767334, 0.6110261082649231, 0.5502071380615234, 0.5607796311378479, 0.24572718143463135, 0.9773405194282532, 0.3849465548992157, 0.8687859773635864, 0.9810956120491028, 0.5596293807029724, 0.965315580368042, 0.33358022570610046, 0.5516984462738037, 0.2707586884498596, 0.5152830481529236, 0.5501207709312439, 0.40274256467819214, 0.4102512001991272, 0.4585812985897064, 0.8379763960838318]",0.0684184730052948,/home/andrius/git/bakis/data/spotifyTop10000/Britney Spears - Oops!...I Did It Again.mp3
