centroid_positions,cluster_sizes,centroid_filepath
"[0.020919665694236755, 0.8393498063087463, 0.1513465791940689, 0.5174146294593811, 0.016826113685965538, 0.015307830646634102, 0.5514999032020569, 0.18672536313533783, 0.009897103533148766, 0.18394650518894196, 0.07217876613140106, 0.03345013037323952, 0.28097090125083923, 0.8773231506347656, 0.9140035510063171, 0.19114787876605988, 0.9265294671058655, 0.7516428828239441, 0.12851282954216003, 0.5633421540260315, 0.38892361521720886, 0.26813068985939026, 0.8874001502990723, 0.03442860394716263, 0.24424153566360474, 0.5624481439590454, 0.23935475945472717, 0.7792154550552368, 0.6603705286979675, 0.7153499126434326, 0.03393992409110069, 0.07983022928237915, 0.015870289877057076, 0.3362140357494354, 0.5387784838676453, 0.47127455472946167, 0.1703222393989563, 0.09867330640554428, 0.17271026968955994, 0.018445461988449097, 0.7725019454956055, 0.8395720720291138, 0.9674667119979858, 0.9367363452911377, 0.09102634340524673, 0.3255479037761688, 0.932452380657196, 0.026345493271946907, 0.020363209769129753, 0.1377754956483841, 0.1072196289896965, 0.8548045754432678, 0.01587318815290928, 0.9254663586616516, 0.7300401926040649, 0.31976693868637085, 0.7635201215744019, 0.2053353190422058, 0.362062931060791, 0.6436328887939453, 0.032101891934871674, 0.12081760168075562, 0.9284271001815796, 0.13492341339588165]",0.17941603064537048,/home/andrius/git/bakis/data/spotifyTop10000/Falco - Rock Me Amadeus - The Gold Mix.mp3
"[0.9392306208610535, 0.05536392703652382, 0.057947948575019836, 0.4676018953323364, 0.5071268081665039, 0.9425491094589233, 0.39805281162261963, 0.058765724301338196, 0.9614534974098206, 0.08058303594589233, 0.4970221221446991, 0.7806064486503601, 0.33081021904945374, 0.25711411237716675, 0.0, 0.08030443638563156, 0.021045228466391563, 0.05062562972307205, 0.13951581716537476, 0.1289464682340622, 0.2785356640815735, 0.133431077003479, 0.012912542559206486, 0.763801097869873, 0.5205288529396057, 0.11690352857112885, 0.32469016313552856, 0.3691714107990265, 0.16076509654521942, 0.12457787245512009, 0.6478039026260376, 0.3032646179199219, 0.41301923990249634, 0.08665887266397476, 0.19802314043045044, 0.19514282047748566, 0.09347841143608093, 0.23310109972953796, 0.06918546557426453, 0.5643624663352966, 0.05374313145875931, 0.37308353185653687, 0.003507161745801568, 0.010005926713347435, 0.5392916202545166, 0.2819770574569702, 0.011716444045305252, 0.6956184506416321, 0.4373829960823059, 0.25650063157081604, 0.4502880275249481, 0.4256227910518646, 0.9597845077514648, 0.41246944665908813, 0.1554827094078064, 0.4215565025806427, 0.0713803768157959, 0.37912681698799133, 0.43995752930641174, 0.42300301790237427, 0.48889589309692383, 0.07255357503890991, 0.3831091523170471, 0.5012500286102295]",0.20045098662376404,/home/andrius/git/bakis/data/spotifyTop10000/The Who - Behind Blue Eyes.mp3
"[0.26158595085144043, 0.815578043460846, 0.8151535391807556, 0.6099996566772461, 0.7021116614341736, 0.2594643831253052, 0.17842790484428406, 0.9123495817184448, 0.28153103590011597, 0.0001953954342752695, 0.21665628254413605, 0.0430552214384079, 0.041902072727680206, 0.5041720271110535, 0.020373716950416565, 0.0002569425560068339, 0.15952616930007935, 0.06542626768350601, 0.8124532103538513, 0.8933705687522888, 0.018255146220326424, 0.8808813095092773, 0.2508803606033325, 0.0772247463464737, 0.005521826911717653, 0.06265340745449066, 0.0002647611836437136, 0.02792700007557869, 0.8893280625343323, 0.9366844296455383, 0.01287873089313507, 0.5566574335098267, 0.6605435609817505, 0.965107262134552, 0.048642486333847046, 0.031601205468177795, 0.8460574150085449, 0.8241174221038818, 0.8321825265884399, 0.2968987822532654, 0.78824782371521, 0.18642714619636536, 0.04013774171471596, 0.09798990190029144, 0.09160435199737549, 0.7961209416389465, 0.2330981343984604, 0.0150600029155612, 0.41116809844970703, 0.6517176628112793, 0.27501440048217773, 0.06825415790081024, 0.23978093266487122, 0.21296678483486176, 0.941569447517395, 0.0167849138379097, 0.26649951934814453, 0.1497582346200943, 0.010206424631178379, 0.838401734828949, 0.4212893545627594, 0.35616788268089294, 0.2437109351158142, 0.15630172193050385]",0.1669382005929947,/home/andrius/git/bakis/data/spotifyTop10000/1910 Fruitgum Company - Simon Says.mp3
"[1.0, 0.24985431134700775, 0.014701420441269875, 0.3673873543739319, 0.3676714301109314, 1.0, 0.46356990933418274, 0.017954720184206963, 1.0, 0.35210874676704407, 0.3460565507411957, 0.5982321500778198, 0.37113091349601746, 0.46846675872802734, 0.37838757038116455, 0.3260738253593445, 0.4394720196723938, 0.5975797176361084, 0.12958814203739166, 0.18635469675064087, 0.3884066045284271, 0.138993039727211, 0.2853241562843323, 0.6844785809516907, 0.6445133686065674, 0.7578556537628174, 0.6726277470588684, 0.9012170433998108, 0.2727114260196686, 0.17952121794223785, 0.69428950548172, 0.121617391705513, 0.13709788024425507, 0.08202576637268066, 0.8570024371147156, 0.5459327697753906, 0.11502818018198013, 0.057438477873802185, 0.04035327956080437, 0.3312869369983673, 0.34244468808174133, 0.8976585268974304, 0.40512824058532715, 0.20230130851268768, 0.4083894193172455, 0.2418675571680069, 0.24749594926834106, 0.6603125929832458, 0.1903398483991623, 0.1556309163570404, 0.357519268989563, 0.812149703502655, 1.0, 0.7324414849281311, 0.2547953426837921, 0.8783100843429565, 0.5473941564559937, 0.35418182611465454, 0.8701707124710083, 0.46213436126708984, 0.42493584752082825, 0.03813524916768074, 0.6942186951637268, 0.37816643714904785]",0.17353755235671997,"/home/andrius/git/bakis/data/spotifyTop10000/Queen, David Bowie - Under Pressure.mp3"
"[0.019353583455085754, 0.7054459452629089, 0.011052467860281467, 0.20649360120296478, 0.09106796234846115, 0.01910509541630745, 0.29615518450737, 0.01611609011888504, 0.019201915711164474, 0.19160059094429016, 0.08310651779174805, 0.6007418036460876, 0.5526838898658752, 0.8353838920593262, 0.0837821215391159, 0.17684151232242584, 0.11701584607362747, 0.03233769163489342, 0.00874085258692503, 0.1984737068414688, 0.3530805706977844, 0.033596742898225784, 0.1303197592496872, 0.31918591260910034, 0.7436667680740356, 0.03149471804499626, 0.8403209447860718, 0.16440795361995697, 0.08761081844568253, 0.11526268720626831, 0.9810556173324585, 0.13679787516593933, 0.04492037370800972, 0.30830758810043335, 0.028379440307617188, 0.4037969410419464, 0.008653892204165459, 0.6978580355644226, 0.0045846858993172646, 0.19404788315296173, 0.11748044937849045, 0.19177109003067017, 0.4239143133163452, 0.8629742860794067, 0.14130085706710815, 0.016641885042190552, 0.8289042115211487, 0.9879297614097595, 0.03795364126563072, 0.06502058357000351, 0.10426587611436844, 0.783350944519043, 0.019595684483647346, 0.1657206118106842, 0.0392104797065258, 0.004048648290336132, 0.02665448933839798, 0.052769605070352554, 0.001980720553547144, 0.17158086597919464, 0.1134718656539917, 0.05442245304584503, 0.04011228308081627, 0.09754778444766998]",0.18243993818759918,/home/andrius/git/bakis/data/spotifyTop10000/Daryl Hall & John Oates - Sara Smile.mp3
"[0.500071108341217, 0.11333755403757095, 0.9775621294975281, 0.12208075076341629, 0.9102599620819092, 0.4583660960197449, 0.17973726987838745, 0.9714559316635132, 0.5410451889038086, 0.9946788549423218, 0.9262872338294983, 0.6977424621582031, 0.7945371866226196, 0.0, 0.06089019402861595, 0.9983769059181213, 0.10519526898860931, 0.06329873949289322, 0.8029772639274597, 0.04828692600131035, 0.8890351057052612, 0.686862587928772, 0.06208597868680954, 0.7669618129730225, 0.8724813461303711, 0.06833957135677338, 0.6472685933113098, 0.12618592381477356, 0.026992296800017357, 0.012481778860092163, 0.2461644858121872, 0.27576401829719543, 0.6225739121437073, 0.06363413482904434, 0.12198825925588608, 0.7209019064903259, 0.4547233581542969, 0.19936983287334442, 0.8101266622543335, 0.41160035133361816, 0.0467061847448349, 0.09681030362844467, 0.05589940398931503, 0.010869610123336315, 0.8585631847381592, 0.08514253795146942, 0.034869272261857986, 0.15411819517612457, 0.8512554168701172, 0.21420201659202576, 0.8536050915718079, 0.0236606877297163, 0.5109269022941589, 0.4161319136619568, 0.015574811026453972, 0.1012297198176384, 0.08074568957090378, 0.9198693633079529, 0.12653395533561707, 0.1325855553150177, 0.8022761344909668, 0.9695295095443726, 0.741284191608429, 0.9309725761413574]",0.1707277148962021,/home/andrius/git/bakis/data/spotifyTop10000/Julien Baker - Appointments.mp3
"[0.23342077434062958, 0.7124138474464417, 0.6481285691261292, 0.21323993802070618, 0.9570239782333374, 0.23390690982341766, 0.12253838777542114, 0.8359747529029846, 0.2970956861972809, 0.010158596560359001, 0.8814072012901306, 0.4324418306350708, 0.27092722058296204, 0.0038732897955924273, 0.04495418816804886, 0.009919789619743824, 0.3135128915309906, 0.1666201949119568, 0.93430095911026, 0.24250054359436035, 0.675613522529602, 0.9398754239082336, 0.40755149722099304, 0.6447306275367737, 0.04507162794470787, 0.12146162241697311, 0.14035409688949585, 0.011176686733961105, 0.23953868448734283, 0.18636690080165863, 0.5386124849319458, 0.16939608752727509, 0.677089273929596, 0.5264864563941956, 0.07680141180753708, 0.27077600359916687, 0.8777827024459839, 0.11434631794691086, 0.7636980414390564, 0.14292138814926147, 0.3114282190799713, 0.011907165870070457, 0.07455894351005554, 0.09539119154214859, 0.7928569316864014, 0.3154752850532532, 0.2796723544597626, 0.47071242332458496, 0.9048113822937012, 0.23883874714374542, 0.8584774732589722, 0.0, 0.2573283314704895, 0.3122760057449341, 0.3169427216053009, 0.01974918320775032, 0.24736355245113373, 0.9055874943733215, 0.01613740436732769, 0.32275187969207764, 0.8733457326889038, 0.10707774013280869, 0.8290045261383057, 0.9221717119216919]",0.1912219077348709,/home/andrius/git/bakis/data/spotifyTop10000/Love Unlimited - Walkin' In The Rain With The One I Love.mp3
"[0.02556738816201687, 0.7852888703346252, 0.9178420901298523, 0.12223437428474426, 0.022714197635650635, 0.023852676153182983, 0.16161155700683594, 0.9234977960586548, 0.017640283331274986, 0.9948515892028809, 0.18296648561954498, 0.030802279710769653, 0.6470621824264526, 0.017057698220014572, 0.9927048087120056, 0.9948080778121948, 0.9619725346565247, 0.014791341498494148, 0.30472493171691895, 0.017366759479045868, 0.7153102159500122, 0.5395623445510864, 0.8590298295021057, 0.021407585591077805, 0.9709040522575378, 0.018311109393835068, 0.07142678648233414, 0.06677442044019699, 0.010302507318556309, 0.007902589626610279, 0.014432110823690891, 0.015784813091158867, 0.017042675986886024, 0.020058440044522285, 0.013527550734579563, 0.5109483599662781, 0.07242504507303238, 0.027038786560297012, 0.9553510546684265, 0.028683548793196678, 0.03671252727508545, 0.1145290657877922, 0.9839876294136047, 0.976453959941864, 0.20082411170005798, 0.00663714250549674, 0.9000867009162903, 0.0159821268171072, 0.02299416810274124, 0.015976035967469215, 0.16034814715385437, 0.12817758321762085, 0.021509366109967232, 0.9178511500358582, 0.009002079255878925, 0.0050926655530929565, 0.0057837157510221004, 0.6312270760536194, 0.0049791280180215836, 0.4695763885974884, 0.030589845031499863, 0.9805981516838074, 0.95523601770401, 0.4152689576148987]",0.1651415079832077,"/home/andrius/git/bakis/data/spotifyTop10000/Jeezy, Kanye West - Put On.mp3"
"[0.058767348527908325, 0.3059671223163605, 0.058983612805604935, 0.26526811718940735, 0.7973924875259399, 0.06336572021245956, 0.6238173842430115, 0.09183245152235031, 0.04809865355491638, 0.18168020248413086, 0.7252293229103088, 0.8805394172668457, 0.6577757000923157, 0.22429761290550232, 0.9750922322273254, 0.16673293709754944, 0.9335500001907349, 0.8626506328582764, 0.7333020567893982, 0.17582200467586517, 0.8933814764022827, 0.30066317319869995, 0.8655524253845215, 0.6797044277191162, 0.5088019967079163, 0.8327057361602783, 0.8165009021759033, 0.15783359110355377, 0.08106032758951187, 0.08079905062913895, 0.9633323550224304, 0.5829718708992004, 0.8661090731620789, 0.1038149818778038, 0.8838827013969421, 0.7192177176475525, 0.4439116418361664, 0.35687142610549927, 0.11925365030765533, 0.7340379953384399, 0.3300244212150574, 0.11773581802845001, 0.9139091968536377, 0.294614315032959, 0.8072866797447205, 0.5714030265808105, 0.24302588403224945, 0.9640097618103027, 0.953216016292572, 0.5990921854972839, 0.7159122228622437, 0.1438368856906891, 0.05216938257217407, 0.27612829208374023, 0.10052589327096939, 0.4644859731197357, 0.8482727408409119, 0.8109687566757202, 0.4550043046474457, 0.19595694541931152, 0.7113717794418335, 0.0333302840590477, 0.6938183903694153, 0.8152949810028076]",0.19278383255004883,/home/andrius/git/bakis/data/spotifyTop10000/The White Stripes - My Doorbell.mp3
"[0.055449798703193665, 0.47978243231773376, 0.17010079324245453, 0.27137619256973267, 0.021799610927700996, 0.04866649582982063, 0.5718686580657959, 0.19186773896217346, 0.045865464955568314, 0.9988990426063538, 0.35032975673675537, 0.12013448774814606, 0.6887328624725342, 0.16832442581653595, 0.9857626557350159, 0.9982315897941589, 0.9969856142997742, 0.776936948299408, 0.19019930064678192, 0.052288323640823364, 0.9266501665115356, 0.21396738290786743, 0.9582479000091553, 0.17431855201721191, 0.9265677332878113, 0.7440087795257568, 0.8207840919494629, 0.8605259656906128, 0.09974022954702377, 0.04909631982445717, 0.3201722800731659, 0.038820408284664154, 0.007618391886353493, 0.006994753610342741, 0.7837672829627991, 0.9056351780891418, 0.1245347186923027, 0.001251431880518794, 0.16826215386390686, 1.6607551515335217e-05, 0.30874571204185486, 0.7704569697380066, 0.9973509311676025, 0.7274414896965027, 0.4190261662006378, 0.12485234439373016, 0.7136960029602051, 0.2000722438097, 0.06326611340045929, 0.06716286391019821, 0.34381088614463806, 0.7947863936424255, 0.043657511472702026, 0.9645753502845764, 0.07374010235071182, 0.6228561401367188, 0.7740505933761597, 0.712356686592102, 0.6264012455940247, 0.2580096423625946, 0.056156259030103683, 0.1825770139694214, 0.9988889098167419, 0.6270917057991028]",0.21243071556091309,/home/andrius/git/bakis/data/spotifyTop10000/Britney Spears - Oops!...I Did It Again.mp3
