centroid_positions,cluster_sizes,centroid_filepath
"[0.565940260887146, 0.5890122652053833, 0.36634984612464905, 0.3215039074420929, 0.21685795485973358, 0.5953467488288879, 0.5549768209457397, 0.4281107485294342, 0.18022309243679047, 0.6330562233924866, 0.6462475061416626, 0.3778635859489441, 0.44926199316978455, 0.41194361448287964, 0.49863097071647644, 0.15456120669841766, 0.26474136114120483, 0.5576528906822205, 0.6102048754692078, 0.2510509490966797, 0.34356939792633057, 0.33588236570358276, 0.26643186807632446, 0.5696449875831604, 0.5608841776847839, 0.24871359765529633, 0.1881304383277893, 0.2597082257270813, 0.6412062048912048, 0.5752784609794617, 0.3034117817878723, 0.47674208879470825, 0.6771502494812012, 0.2389543205499649, 0.6063855290412903, 0.49799463152885437, 0.2915765345096588, 0.5626691579818726, 0.6225876808166504, 0.28914394974708557, 0.4201640486717224, 0.6487764120101929, 0.2081427127122879, 0.3249993622303009, 0.4601297080516815, 0.6237131357192993, 0.5068657994270325, 0.38228872418403625, 0.5937691330909729, 0.44470733404159546, 0.26100629568099976, 0.2584717273712158, 0.48215681314468384, 0.35017064213752747, 0.5305737853050232, 0.5503310561180115, 0.6357439756393433, 0.485138475894928, 0.4514961838722229, 0.5324050784111023, 0.419552206993103, 0.43216830492019653, 0.46774375438690186, 0.495597779750824, 0.5805897116661072, 0.5551148653030396, 0.4812341332435608, 0.563322901725769, 0.22775743901729584, 0.2988292872905731, 0.5310996174812317, 0.5315622687339783, 0.5775178670883179, 0.6288695931434631, 0.5448594689369202, 0.38976362347602844, 0.2502608895301819, 0.3596046268939972, 0.23222674429416656, 0.5610406398773193, 0.43980085849761963, 0.48582723736763, 0.6076980829238892, 0.35017129778862, 0.611016571521759, 0.37203553318977356, 0.5265489220619202, 0.6584686040878296, 0.2620256841182709, 0.26443877816200256, 0.40919315814971924, 0.39219462871551514, 0.32008659839630127, 0.44412848353385925, 0.5340241193771362, 0.3508513569831848, 0.4284965395927429, 0.5455191135406494, 0.43494248390197754, 0.2558465003967285, 0.5561683773994446, 0.31540119647979736, 0.6997079253196716, 0.4372917115688324, 0.6361814737319946, 0.21204489469528198, 0.6322271227836609, 0.31215178966522217, 0.4588318467140198, 0.2561820447444916, 0.1844727098941803, 0.19117552042007446, 0.36682575941085815, 0.21151942014694214, 0.4489176571369171, 0.6026044487953186, 0.6325270533561707, 0.30584853887557983, 0.3816080093383789, 0.32865822315216064, 0.26728078722953796, 0.5255546569824219, 0.5269626379013062, 0.40175575017929077, 0.560343325138092, 0.6219962239265442, 0.2646424174308777, 0.5896849632263184]",0.4217962324619293,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/!!! - Heart Of Hearts.mp3
"[0.35994017124176025, 0.5855721235275269, 0.6911472678184509, 0.5231267213821411, 0.348550409078598, 0.30550816655158997, 0.4294717311859131, 0.4949961304664612, 0.4676786959171295, 0.7048856616020203, 0.38084593415260315, 0.5852307081222534, 0.6486636996269226, 0.4563596248626709, 0.585431694984436, 0.23877698183059692, 0.6303699612617493, 0.5046725869178772, 0.6906443238258362, 0.3820784389972687, 0.642730176448822, 0.44259339570999146, 0.4617668092250824, 0.5653053522109985, 0.30813032388687134, 0.6360756158828735, 0.3031560182571411, 0.3067481517791748, 0.48897138237953186, 0.6609680652618408, 0.2883816659450531, 0.38947248458862305, 0.37327009439468384, 0.3349379897117615, 0.4004231095314026, 0.6763895750045776, 0.27978459000587463, 0.3314817547798157, 0.558959424495697, 0.3209667205810547, 0.6530841588973999, 0.6948165893554688, 0.30631935596466064, 0.5107501745223999, 0.5648322105407715, 0.4426961839199066, 0.6395897269248962, 0.36283963918685913, 0.5498766303062439, 0.2787435054779053, 0.6703951954841614, 0.42730996012687683, 0.33271610736846924, 0.4268641769886017, 0.589228093624115, 0.4759301245212555, 0.4760371744632721, 0.548761248588562, 0.540262758731842, 0.4540052115917206, 0.5944990515708923, 0.3906661868095398, 0.5634068846702576, 0.5400490164756775, 0.6634668111801147, 0.3478085994720459, 0.5607987642288208, 0.6761453747749329, 0.35353153944015503, 0.41656672954559326, 0.5757465362548828, 0.5930892825126648, 0.5551658868789673, 0.4117395877838135, 0.30877262353897095, 0.557653546333313, 0.37576234340667725, 0.6542450189590454, 0.3707129657268524, 0.6745256781578064, 0.620164155960083, 0.7001764178276062, 0.6870129704475403, 0.6273053884506226, 0.3429834842681885, 0.4881878197193146, 0.5820818543434143, 0.6830627918243408, 0.3304036855697632, 0.42392152547836304, 0.35325711965560913, 0.6214798092842102, 0.36599665880203247, 0.6170446276664734, 0.3245156705379486, 0.6360471248626709, 0.6007812023162842, 0.35444918274879456, 0.3817848563194275, 0.2907838225364685, 0.43291008472442627, 0.6567258834838867, 0.5222795605659485, 0.39567527174949646, 0.419237345457077, 0.5297800302505493, 0.5470662117004395, 0.3284800350666046, 0.3669825792312622, 0.41235795617103577, 0.5676144361495972, 0.6604140400886536, 0.5442981123924255, 0.5440463423728943, 0.5474230647087097, 0.31591445207595825, 0.38028207421302795, 0.5113080739974976, 0.47768664360046387, 0.5412725210189819, 0.5887676477432251, 0.44458264112472534, 0.5471214652061462, 0.5644358396530151, 0.5675367116928101, 0.359553724527359, 0.5866564512252808, 0.341584175825119]",0.4861260950565338,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/!!! - Me and Guiliani Down by the School Yard - A True Story.mp3
"[0.6390847563743591, 0.2687055766582489, 0.5051055550575256, 0.3314736485481262, 0.5492356419563293, 0.2711949646472931, 0.6639760732650757, 0.5333108305931091, 0.485343337059021, 0.43908727169036865, 0.24145938456058502, 0.6196495890617371, 0.3184489607810974, 0.3700186014175415, 0.3456197679042816, 0.20394007861614227, 0.33720287680625916, 0.28998610377311707, 0.28108683228492737, 0.6618768572807312, 0.5754612684249878, 0.4709600806236267, 0.6369306445121765, 0.6421412229537964, 0.35669684410095215, 0.20374837517738342, 0.24771952629089355, 0.37255147099494934, 0.5496615767478943, 0.24856257438659668, 0.6894340515136719, 0.31793826818466187, 0.3533020317554474, 0.15008410811424255, 0.3168599009513855, 0.4696633815765381, 0.30437615513801575, 0.5055832266807556, 0.21532662212848663, 0.3838067650794983, 0.29426875710487366, 0.58458012342453, 0.5218530893325806, 0.3101699650287628, 0.36823737621307373, 0.2466849982738495, 0.5609304904937744, 0.22965168952941895, 0.1588461697101593, 0.519252359867096, 0.2158859819173813, 0.4601176381111145, 0.4129183888435364, 0.4665008783340454, 0.25321531295776367, 0.3515850305557251, 0.4176192879676819, 0.5039071440696716, 0.28344079852104187, 0.46168410778045654, 0.24695901572704315, 0.407502144575119, 0.5307261347770691, 0.275398313999176, 0.21239696443080902, 0.30956563353538513, 0.13066366314888, 0.4767596423625946, 0.40251412987709045, 0.25488725304603577, 0.4773646593093872, 0.5433721542358398, 0.5682482719421387, 0.39032936096191406, 0.35598647594451904, 0.32438114285469055, 0.5822402238845825, 0.40925332903862, 0.2561793923377991, 0.5445243120193481, 0.260227233171463, 0.5966106653213501, 0.3080766797065735, 0.6587345600128174, 0.5360453128814697, 0.2280263900756836, 0.19334553182125092, 0.3160560727119446, 0.44508132338523865, 0.269173264503479, 0.3707685172557831, 0.24967683851718903, 0.4843064844608307, 0.2763417065143585, 0.19995100796222687, 0.3888819217681885, 0.5710572600364685, 0.26983827352523804, 0.29685667157173157, 0.2978602647781372, 0.5004533529281616, 0.2109440565109253, 0.18434177339076996, 0.27202174067497253, 0.5127161145210266, 0.6980189681053162, 0.6172746419906616, 0.6333699226379395, 0.5400617718696594, 0.4250691831111908, 0.6736306548118591, 0.5640133023262024, 0.40976274013519287, 0.4963512420654297, 0.46257463097572327, 0.3565202057361603, 0.4726872146129608, 0.5584200620651245, 0.5679388046264648, 0.12773773074150085, 0.3886205852031708, 0.4071680009365082, 0.42598652839660645, 0.595655083656311, 0.20250383019447327, 0.462583988904953, 0.27448612451553345, 0.32330745458602905]",0.3938962519168854,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/& The Mysterians - 96 Tears.mp3
"[0.6295242309570312, 0.49737972021102905, 0.4098965525627136, 0.3765787184238434, 0.4248143434524536, 0.5300304293632507, 0.22880905866622925, 0.3108980655670166, 0.29971545934677124, 0.3966255784034729, 0.481763631105423, 0.2969071865081787, 0.6509543061256409, 0.3939553499221802, 0.25483599305152893, 0.36545678973197937, 0.5338976979255676, 0.49865779280662537, 0.34628644585609436, 0.5494248270988464, 0.5097517967224121, 0.688810408115387, 0.41262635588645935, 0.30998021364212036, 0.5735291838645935, 0.21798840165138245, 0.5151666402816772, 0.5068831443786621, 0.5231108665466309, 0.6269711256027222, 0.4563017189502716, 0.6761593222618103, 0.4124864339828491, 0.380230188369751, 0.25524306297302246, 0.5286760330200195, 0.1910455971956253, 0.4237085282802582, 0.3025911748409271, 0.2573715150356293, 0.20751343667507172, 0.37641483545303345, 0.3326222002506256, 0.5188231468200684, 0.4404047429561615, 0.49053749442100525, 0.5059752464294434, 0.25944778323173523, 0.620123028755188, 0.21898163855075836, 0.4958602786064148, 0.3802659213542938, 0.39045244455337524, 0.20459769666194916, 0.4726201295852661, 0.3860960304737091, 0.3489915430545807, 0.3508128821849823, 0.5790175795555115, 0.34634122252464294, 0.3326517343521118, 0.4928440451622009, 0.25268274545669556, 0.5304548740386963, 0.3890681862831116, 0.25622105598449707, 0.5235841274261475, 0.48374849557876587, 0.4808201491832733, 0.536965548992157, 0.3918345272541046, 0.19162072241306305, 0.5131882429122925, 0.56789630651474, 0.40778955817222595, 0.31848129630088806, 0.2710418999195099, 0.516790509223938, 0.2669895887374878, 0.4664175510406494, 0.4318578541278839, 0.640772819519043, 0.3658238351345062, 0.4636610746383667, 0.4501678943634033, 0.4827670454978943, 0.3099966049194336, 0.5357789397239685, 0.47118812799453735, 0.26616236567497253, 0.6016579866409302, 0.5249315500259399, 0.524127721786499, 0.3187902271747589, 0.38532784581184387, 0.5350595116615295, 0.4860006868839264, 0.2855551838874817, 0.17372645437717438, 0.198574036359787, 0.279851496219635, 0.6013623476028442, 0.351738840341568, 0.5439105033874512, 0.5134709477424622, 0.6411148905754089, 0.43523114919662476, 0.44787725806236267, 0.3814011514186859, 0.24899792671203613, 0.21714405715465546, 0.32203593850135803, 0.30044272541999817, 0.6404053568840027, 0.38918617367744446, 0.6888371109962463, 0.3792370557785034, 0.49551424384117126, 0.5805009007453918, 0.3109336197376251, 0.4665987491607666, 0.6329191327095032, 0.2577921450138092, 0.5433314442634583, 0.5841120481491089, 0.6925444006919861, 0.4467451870441437, 0.5966920852661133]",0.42275381088256836,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/'Til Tuesday - Voices Carry.mp3
"[0.2942907214164734, 0.42911404371261597, 0.2185787558555603, 0.33954644203186035, 0.2936163544654846, 0.29544880986213684, 0.40567290782928467, 0.35132232308387756, 0.47580888867378235, 0.4209350049495697, 0.3967776894569397, 0.4378768801689148, 0.5398352146148682, 0.5107088685035706, 0.3212068974971771, 0.5201649069786072, 0.5275186896324158, 0.3277411162853241, 0.1880568414926529, 0.5532430410385132, 0.4158830940723419, 0.4840506613254547, 0.30040237307548523, 0.44080016016960144, 0.17464080452919006, 0.25304749608039856, 0.583076536655426, 0.4319917857646942, 0.3198692202568054, 0.20674121379852295, 0.354954332113266, 0.48871153593063354, 0.3649822175502777, 0.39324307441711426, 0.5650013089179993, 0.25535520911216736, 0.4219660758972168, 0.43775349855422974, 0.20501551032066345, 0.2355518490076065, 0.17923958599567413, 0.5361499786376953, 0.5574235916137695, 0.38395366072654724, 0.2778046727180481, 0.5612679123878479, 0.3011441230773926, 0.2359035760164261, 0.32752320170402527, 0.3403709828853607, 0.24000999331474304, 0.48591092228889465, 0.5076557993888855, 0.284528911113739, 0.5682591795921326, 0.4276447594165802, 0.5196312665939331, 0.39388594031333923, 0.5592264533042908, 0.17552901804447174, 0.1813637912273407, 0.2904004156589508, 0.5344330072402954, 0.5062734484672546, 0.4900006055831909, 0.4438726007938385, 0.40513643622398376, 0.5027417540550232, 0.17898932099342346, 0.24443817138671875, 0.34449106454849243, 0.30710354447364807, 0.17875465750694275, 0.549824059009552, 0.3439502418041229, 0.2995651662349701, 0.4058198034763336, 0.22005508840084076, 0.3683471083641052, 0.5129976868629456, 0.30168142914772034, 0.38464704155921936, 0.5079528093338013, 0.48911768198013306, 0.21385884284973145, 0.4169995188713074, 0.4531034827232361, 0.4982937276363373, 0.20401152968406677, 0.2994517385959625, 0.3684537410736084, 0.3240206837654114, 0.38378891348838806, 0.48450714349746704, 0.5087865591049194, 0.3964315354824066, 0.4742352366447449, 0.388954222202301, 0.26134371757507324, 0.23271286487579346, 0.49115806818008423, 0.3820420503616333, 0.2609670162200928, 0.35245364904403687, 0.3294603228569031, 0.5820278525352478, 0.4975804388523102, 0.36053213477134705, 0.3726329207420349, 0.23662608861923218, 0.4785907566547394, 0.5256490111351013, 0.5582166314125061, 0.4690473973751068, 0.411793053150177, 0.45276936888694763, 0.3805310130119324, 0.22896790504455566, 0.1763644516468048, 0.4613681733608246, 0.2558027505874634, 0.2173679769039154, 0.26705020666122437, 0.3056354522705078, 0.3779374957084656, 0.559385359287262, 0.536837637424469, 0.3580501079559326]",0.3709007203578949,"/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/10,000 Maniacs - Hey Jack Kerouac.mp3"
"[0.3116444945335388, 0.3380047678947449, 0.2864759862422943, 0.1787375807762146, 0.17648939788341522, 0.15345953404903412, 0.2065889835357666, 0.24006447196006775, 0.15012523531913757, 0.2466922402381897, 0.4637073278427124, 0.3827304542064667, 0.2783651649951935, 0.29669976234436035, 0.4554901719093323, 0.4348808228969574, 0.36850935220718384, 0.21207940578460693, 0.1736951768398285, 0.3325476348400116, 0.3062877953052521, 0.4158572554588318, 0.23030845820903778, 0.21568012237548828, 0.42414966225624084, 0.43240654468536377, 0.30793333053588867, 0.3512016534805298, 0.4252120554447174, 0.39111122488975525, 0.42671480774879456, 0.2668565809726715, 0.1597076654434204, 0.16433870792388916, 0.23338548839092255, 0.17079687118530273, 0.2722075283527374, 0.21642835438251495, 0.47280725836753845, 0.19278675317764282, 0.4946899116039276, 0.1897580623626709, 0.4616682529449463, 0.30209338665008545, 0.2845495939254761, 0.24473324418067932, 0.3478838801383972, 0.4528357684612274, 0.32495227456092834, 0.22334353625774384, 0.2675275206565857, 0.4137238562107086, 0.15619692206382751, 0.5126091241836548, 0.5488922595977783, 0.3708290457725525, 0.4174668490886688, 0.34078168869018555, 0.41805362701416016, 0.3922523856163025, 0.5058771371841431, 0.502775251865387, 0.17324595153331757, 0.23663711547851562, 0.29012030363082886, 0.44752034544944763, 0.424449622631073, 0.43735215067863464, 0.4239614009857178, 0.4037231206893921, 0.24357889592647552, 0.43419894576072693, 0.4146804213523865, 0.21550360321998596, 0.30781036615371704, 0.41719484329223633, 0.4281643033027649, 0.21928253769874573, 0.25375157594680786, 0.14542467892169952, 0.2420567125082016, 0.14478199183940887, 0.41305336356163025, 0.21964184939861298, 0.12571342289447784, 0.32511430978775024, 0.4886006712913513, 0.35167962312698364, 0.20623049139976501, 0.3852919042110443, 0.29036879539489746, 0.4723877012729645, 0.43127113580703735, 0.45162227749824524, 0.353299617767334, 0.2315378040075302, 0.34572163224220276, 0.3410942852497101, 0.41792765259742737, 0.22248901426792145, 0.1923360377550125, 0.3762925863265991, 0.25624483823776245, 0.2959196865558624, 0.16798067092895508, 0.2953173816204071, 0.32663968205451965, 0.2643739581108093, 0.19081422686576843, 0.2461289018392563, 0.2815968692302704, 0.4808906316757202, 0.4516656994819641, 0.3277052640914917, 0.49535036087036133, 0.3963605761528015, 0.39125803112983704, 0.4469718933105469, 0.1924036741256714, 0.2891504764556885, 0.24795567989349365, 0.454587459564209, 0.31405627727508545, 0.41275590658187866, 0.3744020462036133, 0.1261998564004898, 0.4403454661369324, 0.28015562891960144]",0.301562637090683,"/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/100 gecs, Dylan Brady, Laura Les - money machine.mp3"
"[0.3580402433872223, 0.5145050883293152, 0.485612154006958, 0.45442885160446167, 0.4183844327926636, 0.3185335397720337, 0.24997659027576447, 0.25231367349624634, 0.2381000518798828, 0.3731381595134735, 0.3842293322086334, 0.45212554931640625, 0.24191473424434662, 0.24443821609020233, 0.32783830165863037, 0.4915967285633087, 0.435872882604599, 0.36191102862358093, 0.24319122731685638, 0.1871359646320343, 0.36043432354927063, 0.42129388451576233, 0.36868804693222046, 0.29840388894081116, 0.4734499156475067, 0.48008859157562256, 0.3126883804798126, 0.23269122838974, 0.3635704219341278, 0.4246353507041931, 0.3886430561542511, 0.29924455285072327, 0.4177064597606659, 0.34008896350860596, 0.3972359895706177, 0.38883304595947266, 0.5333715677261353, 0.37290382385253906, 0.4948364496231079, 0.40009605884552, 0.40192434191703796, 0.3749594986438751, 0.5469546318054199, 0.553002655506134, 0.2876407206058502, 0.4259223937988281, 0.5372626185417175, 0.37992754578590393, 0.3004429340362549, 0.44776830077171326, 0.34066855907440186, 0.5580105185508728, 0.5086427927017212, 0.5085262656211853, 0.5059193968772888, 0.3989720642566681, 0.26606032252311707, 0.5098453164100647, 0.26638731360435486, 0.50032639503479, 0.4666799306869507, 0.5985748767852783, 0.24848361313343048, 0.602837860584259, 0.25021374225616455, 0.4590471088886261, 0.6242913603782654, 0.24612681567668915, 0.22971117496490479, 0.3716074526309967, 0.3969835937023163, 0.33807581663131714, 0.4345508813858032, 0.4625187814235687, 0.5671189427375793, 0.5797489881515503, 0.4425601661205292, 0.22066690027713776, 0.40315455198287964, 0.5685828328132629, 0.45333805680274963, 0.42194411158561707, 0.22381196916103363, 0.34325000643730164, 0.504397451877594, 0.4759241044521332, 0.3821345269680023, 0.5320799350738525, 0.2247191071510315, 0.36569416522979736, 0.47209206223487854, 0.28350722789764404, 0.383014440536499, 0.384554922580719, 0.32527798414230347, 0.3471031188964844, 0.2046814262866974, 0.26591354608535767, 0.2895914614200592, 0.39782291650772095, 0.2985920011997223, 0.3338516354560852, 0.6390071511268616, 0.4452061653137207, 0.4375322461128235, 0.37142646312713623, 0.19253256916999817, 0.18180935084819794, 0.5105871558189392, 0.42356574535369873, 0.208510160446167, 0.3158664107322693, 0.2284432053565979, 0.4980761408805847, 0.4789271950721741, 0.20106953382492065, 0.4177871346473694, 0.42794615030288696, 0.4032019376754761, 0.5770034790039062, 0.3127821683883667, 0.3141607642173767, 0.3445134162902832, 0.20548591017723083, 0.5038594603538513, 0.4938448667526245, 0.36487269401550293, 0.3509940505027771]",0.3691786229610443,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/10cc - Dreadlock Holiday.mp3
"[0.42485347390174866, 0.4713587164878845, 0.38325291872024536, 0.39059945940971375, 0.22526848316192627, 0.2871110737323761, 0.36837682127952576, 0.2753106355667114, 0.429193913936615, 0.23580604791641235, 0.34585806727409363, 0.2832706570625305, 0.45330920815467834, 0.2968979775905609, 0.29043930768966675, 0.619685709476471, 0.2581917643547058, 0.7453197836875916, 0.3239559233188629, 0.31023746728897095, 0.30896010994911194, 0.2141292542219162, 0.3787240982055664, 0.28697827458381653, 0.3887801766395569, 0.3107818067073822, 0.41733771562576294, 0.44665613770484924, 0.2516908347606659, 0.3247280716896057, 0.43991586565971375, 0.3817713260650635, 0.277366042137146, 0.2850572466850281, 0.4612068235874176, 0.4637086093425751, 0.44469955563545227, 0.2803625762462616, 0.2785525619983673, 0.45658165216445923, 0.2603055536746979, 0.3207801282405853, 0.3494094908237457, 0.48884037137031555, 0.2918131947517395, 0.22740229964256287, 0.5726385712623596, 0.3059203624725342, 0.44152289628982544, 0.6196427345275879, 0.244851753115654, 0.2507873475551605, 0.637313723564148, 0.3738424479961395, 0.5163431167602539, 0.27161288261413574, 0.5466721057891846, 0.25513631105422974, 0.28255602717399597, 0.5594515800476074, 0.5322802662849426, 0.6652434468269348, 0.5095920562744141, 0.6780756711959839, 0.6283450722694397, 0.46615439653396606, 0.5161834955215454, 0.4953222870826721, 0.532243549823761, 0.5406076908111572, 0.6004443764686584, 0.3088202178478241, 0.2792421877384186, 0.2759651243686676, 0.4796425700187683, 0.5507507920265198, 0.27142176032066345, 0.2584233582019806, 0.4908231794834137, 0.5036320090293884, 0.25889939069747925, 0.425861656665802, 0.3980732858181, 0.37900015711784363, 0.2854214906692505, 0.3578406870365143, 0.35337111353874207, 0.2293352484703064, 0.4253310263156891, 0.4739838242530823, 0.30134207010269165, 0.2589617371559143, 0.4563314914703369, 0.4406901001930237, 0.6820927262306213, 0.3376425504684448, 0.40067586302757263, 0.6199078559875488, 0.4875015318393707, 0.4586881995201111, 0.40956804156303406, 0.4814101457595825, 0.5349697470664978, 0.23928454518318176, 0.2400720715522766, 0.41658127307891846, 0.3837846517562866, 0.4335132837295532, 0.4319978356361389, 0.36375921964645386, 0.45947957038879395, 0.37834233045578003, 0.3638288080692291, 0.3390541076660156, 0.5225681662559509, 0.20892611145973206, 0.3480663299560547, 0.44098538160324097, 0.33126580715179443, 0.593766987323761, 0.5826044082641602, 0.2409520149230957, 0.2552153170108795, 0.24092523753643036, 0.4617937505245209, 0.2286849021911621, 0.40897607803344727, 0.3355019986629486]",0.35318759083747864,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/10cc - I'm Not In Love.mp3
"[0.31805887818336487, 0.6025790572166443, 0.6756148934364319, 0.5636714100837708, 0.569754421710968, 0.6535786390304565, 0.6073286533355713, 0.6467289924621582, 0.5259072780609131, 0.6291393637657166, 0.30693352222442627, 0.5147085785865784, 0.351358562707901, 0.5355451107025146, 0.5000678896903992, 0.21998032927513123, 0.45504388213157654, 0.3827943503856659, 0.48309651017189026, 0.2891489863395691, 0.6499930620193481, 0.328755259513855, 0.309323251247406, 0.4563419222831726, 0.34935230016708374, 0.5066781044006348, 0.3878251612186432, 0.35161709785461426, 0.3824036717414856, 0.2504429519176483, 0.6031104326248169, 0.4954403340816498, 0.49077996611595154, 0.40807291865348816, 0.2603828012943268, 0.5862143039703369, 0.5094693303108215, 0.5127520561218262, 0.5582542419433594, 0.2830738425254822, 0.28380459547042847, 0.4469479024410248, 0.5461105704307556, 0.5704845190048218, 0.4778026044368744, 0.6225619316101074, 0.5523043274879456, 0.5620178580284119, 0.45753514766693115, 0.5517410635948181, 0.4763108193874359, 0.21485063433647156, 0.47021904587745667, 0.5698781609535217, 0.3115454614162445, 0.5708134770393372, 0.4551718831062317, 0.43808257579803467, 0.5505164265632629, 0.4886675477027893, 0.43340155482292175, 0.39365413784980774, 0.5617960691452026, 0.2095462828874588, 0.5688144564628601, 0.49392372369766235, 0.37807387113571167, 0.33278071880340576, 0.449984610080719, 0.19517630338668823, 0.4515698552131653, 0.4607789218425751, 0.4090254008769989, 0.4590523838996887, 0.20056134462356567, 0.2526605725288391, 0.42415282130241394, 0.40930697321891785, 0.2944057583808899, 0.5380985736846924, 0.501253068447113, 0.30361807346343994, 0.2178395688533783, 0.5376589298248291, 0.538966715335846, 0.48124268651008606, 0.24471914768218994, 0.45390164852142334, 0.6303495168685913, 0.601632297039032, 0.2668849229812622, 0.44420844316482544, 0.2870892286300659, 0.5824292898178101, 0.36440834403038025, 0.2749660611152649, 0.24430908262729645, 0.24684785306453705, 0.5736018419265747, 0.32950934767723083, 0.32586249709129333, 0.35140541195869446, 0.4393666982650757, 0.5295710563659668, 0.40645623207092285, 0.6090524196624756, 0.689490556716919, 0.35283926129341125, 0.4541029632091522, 0.3884406089782715, 0.33388397097587585, 0.5576534867286682, 0.2751906216144562, 0.3108433485031128, 0.259780615568161, 0.35129421949386597, 0.4440488815307617, 0.4032075107097626, 0.6154815554618835, 0.5651322603225708, 0.3215343654155731, 0.39194291830062866, 0.44019272923469543, 0.2896918058395386, 0.5859517455101013, 0.5359407663345337, 0.5794777274131775, 0.4165832996368408]",0.4324321746826172,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/10cc - Rubber Bullets.mp3
"[0.3310222625732422, 0.46928533911705017, 0.3670128881931305, 0.27416524291038513, 0.4563659131526947, 0.425655335187912, 0.3040597438812256, 0.19944947957992554, 0.4662497341632843, 0.326209157705307, 0.32336315512657166, 0.1781579852104187, 0.2623617947101593, 0.30177444219589233, 0.18153785169124603, 0.500943660736084, 0.31188955903053284, 0.364327609539032, 0.3222646415233612, 0.2755957245826721, 0.36391550302505493, 0.5147803425788879, 0.46240752935409546, 0.2266319990158081, 0.42913007736206055, 0.3070969581604004, 0.25579914450645447, 0.31506213545799255, 0.22295227646827698, 0.3124144971370697, 0.5320537686347961, 0.31080782413482666, 0.45894870162010193, 0.5125091671943665, 0.1738015115261078, 0.3599390387535095, 0.3750429153442383, 0.39052772521972656, 0.32513630390167236, 0.39171841740608215, 0.1968555897474289, 0.503074049949646, 0.2942764163017273, 0.5379344820976257, 0.307640016078949, 0.22882907092571259, 0.35041913390159607, 0.44879525899887085, 0.2596898376941681, 0.4965580701828003, 0.27991852164268494, 0.49689027667045593, 0.2269313484430313, 0.32661470770835876, 0.2593141794204712, 0.20435558259487152, 0.40060633420944214, 0.37204065918922424, 0.29525768756866455, 0.28935253620147705, 0.5849536061286926, 0.47096213698387146, 0.5013530254364014, 0.42360976338386536, 0.5083725452423096, 0.5330680012702942, 0.5602194666862488, 0.5600650310516357, 0.35910600423812866, 0.21803322434425354, 0.478318989276886, 0.4419788420200348, 0.263926237821579, 0.26508721709251404, 0.4180864095687866, 0.3909638822078705, 0.4073047637939453, 0.23264960944652557, 0.44540002942085266, 0.46204397082328796, 0.3270399570465088, 0.3465398848056793, 0.46732285618782043, 0.4437861442565918, 0.46155068278312683, 0.20012682676315308, 0.5942450165748596, 0.47677555680274963, 0.2681688666343689, 0.4806634485721588, 0.3310178816318512, 0.2281785011291504, 0.2718852758407593, 0.43054699897766113, 0.3517884910106659, 0.5252133011817932, 0.3484816551208496, 0.5152746438980103, 0.39113736152648926, 0.3219802975654602, 0.42210516333580017, 0.36818915605545044, 0.4385621249675751, 0.2168971449136734, 0.3883514106273651, 0.4394010603427887, 0.5059998631477356, 0.23630498349666595, 0.42575913667678833, 0.354870080947876, 0.5551275014877319, 0.4637376070022583, 0.455471009016037, 0.28091007471084595, 0.44510555267333984, 0.14669905602931976, 0.4471835792064667, 0.1997869461774826, 0.5284286141395569, 0.4466712176799774, 0.4102575480937958, 0.2397390902042389, 0.26850008964538574, 0.4725557863712311, 0.18448559939861298, 0.17118917405605316, 0.3307282030582428, 0.18817193806171417]",0.3567342460155487,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/10cc - The Things We Do For Love.mp3
