centroid_positions,cluster_sizes,centroid_filepath
"[0.25059548020362854, 0.23617447912693024, 0.2578336000442505, 0.22375547885894775, 0.31061679124832153, 0.5281361937522888, 0.5092908143997192, 0.15662142634391785, 0.1540190726518631, 0.7879778742790222, 0.673962414264679, 0.5415332317352295, 0.35091516375541687, 0.743503212928772, 0.4508359134197235, 0.6219518184661865, 0.7406754493713379, 0.5225920677185059, 0.6368381381034851, 0.5187686085700989, 0.12959636747837067, 0.35044386982917786, 0.4686872065067291, 0.6578612923622131, 0.3962841033935547, 0.6659880876541138, 0.3028247356414795, 0.4106687009334564, 0.32132837176322937, 0.37031152844429016, 0.2925409972667694, 0.5741956830024719, 0.5975614786148071, 0.262032151222229, 0.443759024143219, 0.20397092401981354, 0.3343108594417572, 0.6352586150169373, 0.6649065017700195, 0.2700536847114563, 0.4889260232448578, 0.6731696128845215, 0.7023268342018127, 0.5185557007789612, 0.22826258838176727, 0.5960046648979187, 0.38584721088409424, 0.22140945494174957, 0.24481883645057678, 0.46129077672958374, 0.31884244084358215, 0.3257014751434326, 0.2900537848472595, 0.41143158078193665, 0.7535570859909058, 0.5373961925506592, 0.522101879119873, 0.2906040549278259, 0.43112680315971375, 0.5270415544509888, 0.8636144995689392, 0.1761876344680786, 0.280943900346756, 0.4214800000190735]",0.012073035351932049,/home/andrius/git/bakis/data/spotifyTop10000/ & The Mysterians - 96 Tears.mp3
"[0.5740174055099487, 0.3327907919883728, 0.5661709308624268, 0.24100667238235474, 0.6970966458320618, 0.4019695520401001, 0.22430795431137085, 0.6795100569725037, 0.4666256010532379, 0.26473468542099, 0.4756448566913605, 0.2418915182352066, 0.3259781002998352, 0.32199737429618835, 0.5930861234664917, 0.3492223918437958, 0.36929959058761597, 0.5957850813865662, 0.28097978234291077, 0.7303930521011353, 0.6640569567680359, 0.6846373081207275, 0.19883066415786743, 0.4967362582683563, 0.2705508768558502, 0.3205161988735199, 0.5372235178947449, 0.7074118852615356, 0.5369918942451477, 0.310613214969635, 0.48166459798812866, 0.5191424489021301, 0.5935211181640625, 0.3110230267047882, 0.37096694111824036, 0.2556752860546112, 0.3184187710285187, 0.48782670497894287, 0.42586949467658997, 0.5252977013587952, 0.293960839509964, 0.3153209984302521, 0.3586912453174591, 0.6985050439834595, 0.22694669663906097, 0.47037965059280396, 0.2196979522705078, 0.489176869392395, 0.5496286153793335, 0.7136277556419373, 0.6192359924316406, 0.5762060284614563, 0.7641686201095581, 0.7000318169593811, 0.6405788064002991, 0.2789093554019928, 0.5597676634788513, 0.5440328121185303, 0.32139351963996887, 0.5199631452560425, 0.3890889585018158, 0.22276467084884644, 0.1583465188741684, 0.1950293481349945]",0.01152893528342247,/home/andrius/git/bakis/data/spotifyTop10000/ - 0New Order - Blue Monday.mp3
"[0.7198486924171448, 0.34039199352264404, 0.2386162430047989, 0.5697813034057617, 0.32958436012268066, 0.6142449378967285, 0.382615327835083, 0.5427722334861755, 0.5956651568412781, 0.237956240773201, 0.2892436683177948, 0.1778867393732071, 0.7146860361099243, 0.3697974383831024, 0.5714188814163208, 0.36305496096611023, 0.39739540219306946, 0.36389267444610596, 0.3578798472881317, 0.4443233013153076, 0.6265745759010315, 0.3911376893520355, 0.42897042632102966, 0.357104629278183, 0.3245101273059845, 0.6710914373397827, 0.5870938301086426, 0.20911569893360138, 0.24955911934375763, 0.36148473620414734, 0.5596912503242493, 0.5137383341789246, 0.20063017308712006, 0.31214600801467896, 0.415985107421875, 0.31552445888519287, 0.42227262258529663, 0.4380432963371277, 0.3788481652736664, 0.319694459438324, 0.3501960337162018, 0.5104487538337708, 0.36204880475997925, 0.2435702234506607, 0.7323158383369446, 0.3472241461277008, 0.2741730809211731, 0.6748742461204529, 0.2981867492198944, 0.261497437953949, 0.4921131730079651, 0.3180115818977356, 0.4919925630092621, 0.19430285692214966, 0.2284994125366211, 0.4072076380252838, 0.5742382407188416, 0.30003103613853455, 0.5237264037132263, 0.1738075166940689, 0.5169245004653931, 0.27324554324150085, 0.5225638747215271, 0.49903300404548645]",0.011960651725530624,/home/andrius/git/bakis/data/spotifyTop10000/ - Killer Queen - 2011 Mix.mp3
"[0.2210129350423813, 0.9713689684867859, 0.8392014503479004, 0.7955365180969238, 0.32787877321243286, 0.6960849165916443, 0.6539301872253418, 0.6524751782417297, 0.26823386549949646, 0.331068217754364, 0.6761428117752075, 0.4154260456562042, 0.3302428722381592, 0.21739794313907623, 0.4232487678527832, 0.3035230338573456, 0.6095278859138489, 0.3345614969730377, 0.33113545179367065, 0.7254474759101868, 0.5780777931213379, 0.221814826130867, 0.5074529647827148, 0.6774842739105225, 0.20805476605892181, 0.28174030780792236, 0.4195527136325836, 0.5217426419258118, 0.3413439691066742, 0.30982643365859985, 0.23158292472362518, 0.31254133582115173, 0.5740672945976257, 0.413800448179245, 0.39692890644073486, 0.5901543498039246, 0.5728012919425964, 0.6125366687774658, 0.19735567271709442, 0.6052659749984741, 0.32163551449775696, 0.2712975740432739, 0.25942593812942505, 0.36409062147140503, 0.5557059049606323, 0.7421820163726807, 0.3804051876068115, 0.4040260910987854, 0.7539336085319519, 0.32134178280830383, 0.5631358027458191, 0.7052640318870544, 0.5495326519012451, 0.8139570951461792, 0.40194642543792725, 0.6330054402351379, 0.8063997626304626, 0.23132115602493286, 0.16769880056381226, 0.2117692083120346, 0.19768252968788147, 0.3230040371417999, 0.3241446614265442, 0.199226513504982]",0.012145481072366238,/home/andrius/git/bakis/data/spotifyTop10000/ - LFO.mp3
"[0.3989006578922272, 0.24519579112529755, 0.22037701308727264, 0.27316635847091675, 0.19240255653858185, 0.4276217520236969, 0.5805826783180237, 0.19978594779968262, 0.5282666683197021, 0.7065529823303223, 0.33621352910995483, 0.31728312373161316, 0.42669540643692017, 0.5980542302131653, 0.33784300088882446, 0.5694308280944824, 0.2117023766040802, 0.5158131718635559, 0.3124677240848541, 0.42191043496131897, 0.6854436993598938, 0.25194066762924194, 0.20369286835193634, 0.35289543867111206, 0.47920241951942444, 0.6662986278533936, 0.39012566208839417, 0.27640122175216675, 0.42971622943878174, 0.3670791685581207, 0.30661800503730774, 0.45139068365097046, 0.39110904932022095, 0.4108765125274658, 0.41943803429603577, 0.5771885514259338, 0.49983829259872437, 0.641045093536377, 0.45504656434059143, 0.48121267557144165, 0.25985825061798096, 0.35850223898887634, 0.31163087487220764, 0.20991618931293488, 0.6706778407096863, 0.5462784767150879, 0.1940212845802307, 0.38633838295936584, 0.34825363755226135, 0.23116283118724823, 0.2512817084789276, 0.2608431279659271, 0.29874634742736816, 0.29017579555511475, 0.19475534558296204, 0.5748269557952881, 0.48703405261039734, 0.5698681473731995, 0.5777179002761841, 0.16488313674926758, 0.31668511033058167, 0.734523355960846, 0.5533942580223083, 0.4807841181755066]",0.011952963657677174,/home/andrius/git/bakis/data/spotifyTop10000/ - Les elucubrations d'Antoine.mp3
"[0.39990514516830444, 0.2937888205051422, 0.6670010089874268, 0.40233102440834045, 0.19663184881210327, 0.3413940370082855, 0.5781773924827576, 0.2263135462999344, 0.3137986361980438, 0.42952442169189453, 0.24200905859470367, 0.6591491103172302, 0.205973282456398, 0.791938304901123, 0.2634964883327484, 0.5341906547546387, 0.45782390236854553, 0.612639844417572, 0.3556033968925476, 0.42327046394348145, 0.2434139847755432, 0.3658348023891449, 0.2818528115749359, 0.44524085521698, 0.3416611850261688, 0.2990805208683014, 0.2401972860097885, 0.15813018381595612, 0.48570623993873596, 0.5985731482505798, 0.6105245351791382, 0.6099122166633606, 0.32420775294303894, 0.5425643920898438, 0.4646822214126587, 0.32812395691871643, 0.3194984793663025, 0.6172824501991272, 0.5290544629096985, 0.31378820538520813, 0.47558194398880005, 0.22616524994373322, 0.2763170897960663, 0.3923981785774231, 0.1811695545911789, 0.4155871868133545, 0.1518394649028778, 0.24206450581550598, 0.6681519746780396, 0.21079036593437195, 0.24373556673526764, 0.1465403139591217, 0.4755433201789856, 0.20697200298309326, 0.6684702038764954, 0.32604074478149414, 0.19266670942306519, 0.6961449980735779, 0.288143515586853, 0.6241262555122375, 0.17396356165409088, 0.33504822850227356, 0.2121724635362625, 0.6866567730903625]",0.01238908339291811,/home/andrius/git/bakis/data/spotifyTop10000/ - Minor Threat.mp3
"[0.40023812651634216, 0.29982537031173706, 0.5843477249145508, 0.29515889286994934, 0.6799420714378357, 0.6101216077804565, 0.6547205448150635, 0.6593324542045593, 0.5238985419273376, 0.39980265498161316, 0.26125529408454895, 0.23233962059020996, 0.6559765338897705, 0.362062007188797, 0.1807110607624054, 0.2943476736545563, 0.35612884163856506, 0.5257443785667419, 0.39355525374412537, 0.41640520095825195, 0.5509544014930725, 0.506874680519104, 0.6289895176887512, 0.3238923251628876, 0.4125100076198578, 0.5874109268188477, 0.5109918117523193, 0.41081503033638, 0.5884161591529846, 0.22315919399261475, 0.488483190536499, 0.46980413794517517, 0.4627559781074524, 0.43621402978897095, 0.5019106268882751, 0.4273216724395752, 0.1885831505060196, 0.254084974527359, 0.31473204493522644, 0.49778375029563904, 0.49930739402770996, 0.3518334627151489, 0.46908870339393616, 0.6643456816673279, 0.43070298433303833, 0.28177404403686523, 0.6559351682662964, 0.5074042081832886, 0.16882093250751495, 0.5484446287155151, 0.2591554522514343, 0.621699869632721, 0.20334701240062714, 0.2833470404148102, 0.2938477098941803, 0.4598802924156189, 0.4030280113220215, 0.678106963634491, 0.20167860388755798, 0.5506902933120728, 0.21375080943107605, 0.635448157787323, 0.597299337387085, 0.17274367809295654]",0.011834373697638512,/home/andrius/git/bakis/data/spotifyTop10000/ - Miss Parker - Morgan Original Long Version.mp3
"[0.7207977175712585, 0.640942394733429, 0.6573804020881653, 0.6574112772941589, 0.27069640159606934, 0.16357113420963287, 0.19724348187446594, 0.38132622838020325, 0.7032967805862427, 0.6198121309280396, 0.8020724058151245, 0.6322640180587769, 0.31728774309158325, 0.5659992694854736, 0.7845691442489624, 0.23616448044776917, 0.3945816457271576, 0.17192037403583527, 0.4605991542339325, 0.5982189774513245, 0.3462798595428467, 0.5904491543769836, 0.5882988572120667, 0.6870967149734497, 0.5167876482009888, 0.4713383913040161, 0.3187131881713867, 0.3972313702106476, 0.3293644189834595, 0.2332993447780609, 0.5107867121696472, 0.5985196828842163, 0.47423624992370605, 0.5697261095046997, 0.5715280175209045, 0.4131537973880768, 0.2625747323036194, 0.30604976415634155, 0.46191641688346863, 0.5530489087104797, 0.5510640740394592, 0.3459455966949463, 0.5175948143005371, 0.36840444803237915, 0.2827862799167633, 0.3778032958507538, 0.6154801249504089, 0.28949424624443054, 0.6684789061546326, 0.4724351763725281, 0.48891714215278625, 0.13051903247833252, 0.14360660314559937, 0.3412649929523468, 0.3049745559692383, 0.1133226677775383, 0.18429654836654663, 0.26708146929740906, 0.675762414932251, 0.5039517879486084, 0.19429492950439453, 0.5937327742576599, 0.2019623965024948, 0.8296866416931152]",0.011576569639146328,/home/andrius/git/bakis/data/spotifyTop10000/ - Mogwai Fear Satan.mp3
"[0.2556709051132202, 0.22624558210372925, 0.5674302577972412, 0.6312722563743591, 0.26908642053604126, 0.5037567615509033, 0.32617294788360596, 0.6062068939208984, 0.3036215305328369, 0.342111736536026, 0.5360041260719299, 0.7132777571678162, 0.2031753659248352, 0.4880426824092865, 0.45483919978141785, 0.7636366486549377, 0.24239934980869293, 0.4518633484840393, 0.5180914998054504, 0.2697410583496094, 0.44720858335494995, 0.5110608339309692, 0.4871481657028198, 0.22367863357067108, 0.4319531321525574, 0.1579371690750122, 0.3408889174461365, 0.4120044708251953, 0.23845869302749634, 0.4842127859592438, 0.4663301408290863, 0.25416767597198486, 0.3242753744125366, 0.3997971713542938, 0.2474880963563919, 0.38993707299232483, 0.6581542491912842, 0.2689668834209442, 0.6118394732475281, 0.1565508246421814, 0.5550058484077454, 0.5493427515029907, 0.6620907187461853, 0.18337370455265045, 0.1968972235918045, 0.20339927077293396, 0.32925084233283997, 0.30545079708099365, 0.3687320947647095, 0.493573397397995, 0.6992429494857788, 0.2334953099489212, 0.6098671555519104, 0.656497597694397, 0.3339206278324127, 0.20215368270874023, 0.5386216044425964, 0.57960045337677, 0.7249755263328552, 0.7677057385444641, 0.2977299392223358, 0.2273617535829544, 0.2855851650238037, 0.24487514793872833]",0.012668867595493793,/home/andrius/git/bakis/data/spotifyTop10000/ - Muscle Museum.mp3
"[0.32725510001182556, 0.25190725922584534, 0.23083697259426117, 0.31930744647979736, 0.31128937005996704, 0.3901541233062744, 0.3274582624435425, 0.7486700415611267, 0.15852390229701996, 0.24670222401618958, 0.2878347635269165, 0.5237846970558167, 0.7996479868888855, 0.13875938951969147, 0.20556563138961792, 0.2754696011543274, 0.4851813316345215, 0.19776524603366852, 0.18193389475345612, 0.16661350429058075, 0.4922442138195038, 0.19687451422214508, 0.7179164886474609, 0.23504120111465454, 0.5685163140296936, 0.23321035504341125, 0.41997891664505005, 0.37397632002830505, 0.23248235881328583, 0.2541554570198059, 0.2497229427099228, 0.47458088397979736, 0.5459246635437012, 0.5570248961448669, 0.24437938630580902, 0.5718107223510742, 0.24763357639312744, 0.6565001010894775, 0.5488187074661255, 0.194333016872406, 0.20749720931053162, 0.17149007320404053, 0.6584977507591248, 0.28964298963546753, 0.47160908579826355, 0.48114392161369324, 0.7632409930229187, 0.30326586961746216, 0.5769125819206238, 0.27174249291419983, 0.46808940172195435, 0.8821975588798523, 0.24675481021404266, 0.1657121330499649, 0.36251145601272583, 0.5196224451065063, 0.41705790162086487, 0.15983249247074127, 0.44737866520881653, 0.7360261678695679, 0.6873785257339478, 0.21899589896202087, 0.4681851267814636, 0.26578280329704285]",0.013050968758761883,/home/andrius/git/bakis/data/spotifyTop10000/ - On My Mind (Jorja Smith X Preditah).mp3
